date,confirmed
2020-01-22,0
2020-01-23,0
2020-01-24,0
2020-01-25,0
2020-01-26,0
2020-01-27,0
2020-01-28,0
2020-01-29,0
2020-01-30,0
2020-01-31,0
2020-02-01,0
2020-02-02,0
2020-02-03,0
2020-02-04,0
2020-02-05,0
2020-02-06,0
2020-02-07,0
2020-02-08,0
2020-02-09,0
2020-02-10,0
2020-02-11,0
2020-02-12,0
2020-02-13,0
2020-02-14,0
2020-02-15,0
2020-02-16,0
2020-02-17,0
2020-02-18,0
2020-02-19,0
2020-02-20,0
2020-02-21,0
2020-02-22,0
2020-02-23,0
2020-02-24,0
2020-02-25,0
2020-02-26,0
2020-02-27,0
2020-02-28,0
2020-02-29,0
2020-03-01,0
2020-03-02,0
2020-03-03,0
2020-03-04,0
2020-03-05,0
2020-03-06,1
2020-03-07,1
2020-03-08,1
2020-03-09,1
2020-03-10,1
2020-03-11,1
2020-03-12,1
2020-03-13,1
2020-03-14,1
2020-03-15,1
2020-03-16,1
2020-03-17,1
2020-03-18,1
2020-03-19,1
2020-03-20,9
2020-03-21,16
2020-03-22,16
2020-03-23,18
2020-03-24,20
2020-03-25,23
2020-03-26,23
2020-03-27,25
2020-03-28,25
2020-03-29,25
2020-03-30,30
2020-03-31,34
2020-04-01,36
2020-04-02,39
2020-04-03,40
2020-04-04,41
2020-04-05,44
2020-04-06,58
2020-04-07,65
2020-04-08,70
2020-04-09,73
2020-04-10,76
2020-04-11,76
2020-04-12,76
2020-04-13,77
2020-04-14,77
2020-04-15,81
2020-04-16,81
2020-04-17,83
2020-04-18,84
2020-04-19,84
2020-04-20,84
2020-04-21,86
2020-04-22,88
2020-04-23,88
2020-04-24,90
2020-04-25,96
2020-04-26,98
2020-04-27,98
2020-04-28,99
2020-04-29,109
2020-04-30,116
2020-05-01,123
2020-05-02,123
2020-05-03,124
2020-05-04,126
2020-05-05,128
2020-05-06,128
2020-05-07,135
2020-05-08,145
2020-05-09,153
2020-05-10,174
2020-05-11,181
2020-05-12,199
2020-05-13,219
2020-05-14,238
2020-05-15,263
2020-05-16,298
2020-05-17,301
2020-05-18,330
2020-05-19,338
2020-05-20,340
2020-05-21,354
2020-05-22,363
2020-05-23,373
2020-05-24,381
2020-05-25,386
2020-05-26,391
2020-05-27,395
2020-05-28,422
2020-05-29,428
2020-05-30,433
2020-05-31,442
2020-06-01,443
2020-06-02,445
2020-06-03,452
2020-06-04,465
2020-06-05,485
2020-06-06,487
2020-06-07,495
2020-06-08,497
2020-06-09,501
2020-06-10,522
2020-06-11,524
2020-06-12,525
2020-06-13,530
2020-06-14,530
2020-06-15,531
2020-06-16,537
2020-06-17,544
2020-06-18,547
2020-06-19,555
2020-06-20,561
2020-06-21,569
2020-06-22,569
2020-06-23,576
2020-06-24,583
2020-06-25,588
2020-06-26,591
2020-06-27,615
2020-06-28,642
2020-06-29,643
2020-06-30,650
2020-07-01,661
2020-07-02,667
2020-07-03,671
2020-07-04,676
2020-07-05,680
2020-07-06,680
2020-07-07,689
2020-07-08,695
2020-07-09,704
2020-07-10,710
2020-07-11,710
2020-07-12,720
2020-07-13,721
2020-07-14,731
2020-07-15,740
2020-07-16,749
2020-07-17,766
2020-07-18,774
2020-07-19,778
2020-07-20,783
2020-07-21,790
2020-07-22,806
2020-07-23,828
2020-07-24,839
2020-07-25,853
2020-07-26,868
2020-07-27,874
2020-07-28,896
2020-07-29,896
2020-07-30,908
2020-07-31,941
2020-08-01,958
2020-08-02,961
2020-08-03,976
2020-08-04,988
2020-08-05,1001
2020-08-06,1012
2020-08-07,1028
2020-08-08,1046
2020-08-09,1060
2020-08-10,1067
2020-08-11,1070
2020-08-12,1092
2020-08-13,1104
2020-08-14,1124
2020-08-15,1130
2020-08-16,1147
2020-08-17,1154
2020-08-18,1173
2020-08-19,1190
2020-08-20,1212
2020-08-21,1239
2020-08-22,1275
2020-08-23,1277
2020-08-24,1295
2020-08-25,1309
2020-08-26,1326
2020-08-27,1326
2020-08-28,1365
2020-08-29,1390
2020-08-30,1396
2020-08-31,1400
2020-09-01,1416
2020-09-02,1434
2020-09-03,1443
2020-09-04,1457
2020-09-05,1477
2020-09-06,1488
2020-09-07,1493
2020-09-08,1513
2020-09-09,1528
2020-09-10,1537
2020-09-11,1548
2020-09-12,1555
2020-09-13,1572
2020-09-14,1578
2020-09-15,1595
2020-09-16,1608
2020-09-17,1618
2020-09-18,1640
2020-09-19,1659
2020-09-20,1666
2020-09-21,1669
2020-09-22,1683
2020-09-23,1701
2020-09-24,1707
2020-09-25,1722
2020-09-26,1736
2020-09-27,1743
2020-09-28,1749
2020-09-29,1759
2020-09-30,1784
2020-10-01,1809
2020-10-02,1818
2020-10-03,1840
2020-10-04,1854
2020-10-05,1864
2020-10-06,1881
2020-10-07,1898
2020-10-08,1907
2020-10-09,1921
2020-10-10,1935
2020-10-11,1940
2020-10-12,1949
