date,deaths
2020-01-22,0
2020-01-23,0
2020-01-24,0
2020-01-25,0
2020-01-26,0
2020-01-27,0
2020-01-28,0
2020-01-29,0
2020-01-30,0
2020-01-31,0
2020-02-01,0
2020-02-02,0
2020-02-03,0
2020-02-04,0
2020-02-05,0
2020-02-06,0
2020-02-07,0
2020-02-08,0
2020-02-09,0
2020-02-10,0
2020-02-11,0
2020-02-12,0
2020-02-13,0
2020-02-14,0
2020-02-15,0
2020-02-16,0
2020-02-17,0
2020-02-18,0
2020-02-19,0
2020-02-20,0
2020-02-21,0
2020-02-22,0
2020-02-23,0
2020-02-24,0
2020-02-25,0
2020-02-26,0
2020-02-27,0
2020-02-28,0
2020-02-29,0
2020-03-01,0
2020-03-02,0
2020-03-03,0
2020-03-04,0
2020-03-05,0
2020-03-06,0
2020-03-07,0
2020-03-08,0
2020-03-09,0
2020-03-10,0
2020-03-11,0
2020-03-12,0
2020-03-13,0
2020-03-14,0
2020-03-15,0
2020-03-16,0
2020-03-17,0
2020-03-18,0
2020-03-19,0
2020-03-20,0
2020-03-21,0
2020-03-22,0
2020-03-23,0
2020-03-24,0
2020-03-25,1
2020-03-26,1
2020-03-27,2
2020-03-28,3
2020-03-29,3
2020-03-30,3
2020-03-31,3
2020-04-01,5
2020-04-02,5
2020-04-03,6
2020-04-04,6
2020-04-05,7
2020-04-06,8
2020-04-07,8
2020-04-08,8
2020-04-09,8
2020-04-10,8
2020-04-11,8
2020-04-12,8
2020-04-13,8
2020-04-14,8
2020-04-15,8
2020-04-16,8
2020-04-17,8
2020-04-18,8
2020-04-19,8
2020-04-20,8
2020-04-21,8
2020-04-22,8
2020-04-23,8
2020-04-24,8
2020-04-25,8
2020-04-26,8
2020-04-27,8
2020-04-28,8
2020-04-29,8
2020-04-30,8
2020-05-01,8
2020-05-02,8
2020-05-03,8
2020-05-04,8
2020-05-05,8
2020-05-06,8
2020-05-07,8
2020-05-08,8
2020-05-09,8
2020-05-10,8
2020-05-11,8
2020-05-12,8
2020-05-13,8
2020-05-14,8
2020-05-15,8
2020-05-16,8
2020-05-17,8
2020-05-18,8
2020-05-19,8
2020-05-20,8
2020-05-21,8
2020-05-22,8
2020-05-23,8
2020-05-24,8
2020-05-25,8
2020-05-26,8
2020-05-27,8
2020-05-28,8
2020-05-29,8
2020-05-30,8
2020-05-31,8
2020-06-01,8
2020-06-02,8
2020-06-03,8
2020-06-04,8
2020-06-05,8
2020-06-06,8
2020-06-07,8
2020-06-08,8
2020-06-09,8
2020-06-10,8
2020-06-11,8
2020-06-12,8
2020-06-13,8
2020-06-14,8
2020-06-15,8
2020-06-16,8
2020-06-17,8
2020-06-18,8
2020-06-19,8
2020-06-20,8
2020-06-21,8
2020-06-22,8
2020-06-23,8
2020-06-24,8
2020-06-25,8
2020-06-26,8
2020-06-27,8
2020-06-28,8
2020-06-29,8
2020-06-30,8
2020-07-01,8
2020-07-02,8
2020-07-03,8
2020-07-04,8
2020-07-05,8
2020-07-06,8
2020-07-07,8
2020-07-08,8
2020-07-09,8
2020-07-10,8
2020-07-11,8
2020-07-12,8
2020-07-13,8
2020-07-14,8
2020-07-15,8
2020-07-16,8
2020-07-17,8
2020-07-18,8
2020-07-19,8
2020-07-20,8
2020-07-21,8
2020-07-22,8
2020-07-23,8
2020-07-24,8
2020-07-25,8
2020-07-26,8
2020-07-27,8
2020-07-28,8
2020-07-29,8
2020-07-30,8
2020-07-31,8
2020-08-01,8
2020-08-02,8
2020-08-03,8
2020-08-04,8
2020-08-05,8
2020-08-06,8
2020-08-07,8
2020-08-08,8
2020-08-09,8
2020-08-10,8
2020-08-11,8
2020-08-12,8
2020-08-13,8
2020-08-14,10
2020-08-15,10
2020-08-16,11
2020-08-17,12
2020-08-18,12
2020-08-19,12
2020-08-20,12
2020-08-21,12
2020-08-22,13
2020-08-23,14
2020-08-24,15
2020-08-25,15
2020-08-26,15
2020-08-27,15
2020-08-28,19
2020-08-29,19
2020-08-30,21
2020-08-31,22
2020-09-01,27
2020-09-02,28
2020-09-03,29
2020-09-04,31
2020-09-05,33
2020-09-06,34
2020-09-07,37
2020-09-08,39
2020-09-09,39
2020-09-10,43
2020-09-11,50
2020-09-12,51
2020-09-13,53
2020-09-14,55
2020-09-15,56
2020-09-16,58
2020-09-17,60
2020-09-18,60
2020-09-19,61
2020-09-20,65
2020-09-21,65
2020-09-22,65
2020-09-23,67
2020-09-24,67
2020-09-25,70
2020-09-26,70
2020-09-27,71
2020-09-28,72
2020-09-29,74
2020-09-30,76
2020-10-01,76
2020-10-02,76
2020-10-03,79
2020-10-04,81
2020-10-05,82
2020-10-06,83
2020-10-07,84
2020-10-08,86
2020-10-09,89
2020-10-10,90
2020-10-11,90
2020-10-12,92
