date,new
2020-01-22,0.0
2020-01-23,0.0
2020-01-24,0.0
2020-01-25,0.0
2020-01-26,0.0
2020-01-27,0.0
2020-01-28,0.0
2020-01-29,0.0
2020-01-30,0.0
2020-01-31,0.0
2020-02-01,0.0
2020-02-02,0.0
2020-02-03,0.0
2020-02-04,0.0
2020-02-05,0.0
2020-02-06,0.0
2020-02-07,0.0
2020-02-08,0.0
2020-02-09,0.0
2020-02-10,0.0
2020-02-11,0.0
2020-02-12,0.0
2020-02-13,0.0
2020-02-14,0.0
2020-02-15,0.0
2020-02-16,0.0
2020-02-17,0.0
2020-02-18,0.0
2020-02-19,0.0
2020-02-20,0.0
2020-02-21,0.0
2020-02-22,0.0
2020-02-23,0.0
2020-02-24,0.0
2020-02-25,0.0
2020-02-26,0.0
2020-02-27,0.0
2020-02-28,0.0
2020-02-29,0.0
2020-03-01,0.0
2020-03-02,0.0
2020-03-03,0.0
2020-03-04,0.0
2020-03-05,0.0
2020-03-06,0.0
2020-03-07,0.0
2020-03-08,0.0
2020-03-09,0.0
2020-03-10,0.0
2020-03-11,0.0
2020-03-12,0.0
2020-03-13,0.0
2020-03-14,0.0
2020-03-15,0.0
2020-03-16,0.0
2020-03-17,0.0
2020-03-18,0.0
2020-03-19,0.0
2020-03-20,0.0
2020-03-21,1.0
2020-03-22,0.0
2020-03-23,8.0
2020-03-24,0.0
2020-03-25,5.0
2020-03-26,0.0
2020-03-27,9.0
2020-03-28,7.0
2020-03-29,3.0
2020-03-30,0.0
2020-03-31,11.0
2020-04-01,0.0
2020-04-02,1.0
2020-04-03,3.0
2020-04-04,0.0
2020-04-05,4.0
2020-04-06,0.0
2020-04-07,0.0
2020-04-08,1.0
2020-04-09,0.0
2020-04-10,0.0
2020-04-11,0.0
2020-04-12,1.0
2020-04-13,0.0
2020-04-14,1.0
2020-04-15,0.0
2020-04-16,0.0
2020-04-17,1.0
2020-04-18,-1.0
2020-04-19,0.0
2020-04-20,1.0
2020-04-21,5.0
2020-04-22,2.0
2020-04-23,11.0
2020-04-24,1.0
2020-04-25,0.0
2020-04-26,4.0
2020-04-27,0.0
2020-04-28,0.0
2020-04-29,2.0
2020-04-30,2.0
2020-05-01,2.0
2020-05-02,3.0
2020-05-03,1.0
2020-05-04,8.0
2020-05-05,1.0
2020-05-06,2.0
2020-05-07,1.0
2020-05-08,0.0
2020-05-09,15.0
2020-05-10,5.0
2020-05-11,0.0
2020-05-12,8.0
2020-05-13,10.0
2020-05-14,21.0
2020-05-15,43.0
2020-05-16,24.0
2020-05-17,0.0
2020-05-18,21.0
2020-05-19,12.0
2020-05-20,4.0
2020-05-21,-104.0
2020-05-22,15.0
2020-05-23,23.0
2020-05-24,0.0
2020-05-25,24.0
2020-05-26,31.0
2020-05-27,28.0
2020-05-28,36.0
2020-05-29,12.0
2020-05-30,84.0
2020-05-31,4.0
2020-06-01,40.0
2020-06-02,32.0
2020-06-03,18.0
2020-06-04,15.0
2020-06-05,35.0
2020-06-06,36.0
2020-06-07,23.0
2020-06-08,30.0
2020-06-09,11.0
2020-06-10,8.0
2020-06-11,14.0
2020-06-12,7.0
2020-06-13,8.0
2020-06-14,2.0
2020-06-15,9.0
2020-06-16,19.0
2020-06-17,8.0
2020-06-18,9.0
2020-06-19,14.0
2020-06-20,8.0
2020-06-21,7.0
2020-06-22,4.0
2020-06-23,23.0
2020-06-24,8.0
2020-06-25,16.0
2020-06-26,12.0
2020-06-27,15.0
2020-06-28,11.0
2020-06-29,11.0
2020-06-30,19.0
2020-07-01,4.0
2020-07-02,9.0
2020-07-03,9.0
2020-07-04,16.0
2020-07-05,12.0
2020-07-06,14.0
2020-07-07,18.0
2020-07-08,6.0
2020-07-09,23.0
2020-07-10,6.0
2020-07-11,7.0
2020-07-12,12.0
2020-07-13,4.0
2020-07-14,11.0
2020-07-15,3.0
2020-07-16,8.0
2020-07-17,5.0
2020-07-18,6.0
2020-07-19,3.0
2020-07-20,4.0
2020-07-21,3.0
2020-07-22,3.0
2020-07-23,4.0
2020-07-24,10.0
2020-07-25,14.0
2020-07-26,12.0
2020-07-27,13.0
2020-07-28,7.0
2020-07-29,5.0
2020-07-30,7.0
2020-07-31,7.0
2020-08-01,22.0
2020-08-02,6.0
2020-08-03,13.0
2020-08-04,8.0
2020-08-05,10.0
2020-08-06,10.0
2020-08-07,31.0
2020-08-08,13.0
2020-08-09,16.0
2020-08-10,14.0
