date,new
2020-01-22,0.0
2020-01-23,0.0
2020-01-24,0.0
2020-01-25,0.0
2020-01-26,0.0
2020-01-27,0.0
2020-01-28,0.0
2020-01-29,0.0
2020-01-30,0.0
2020-01-31,0.0
2020-02-01,0.0
2020-02-02,0.0
2020-02-03,0.0
2020-02-04,0.0
2020-02-05,0.0
2020-02-06,0.0
2020-02-07,0.0
2020-02-08,0.0
2020-02-09,0.0
2020-02-10,0.0
2020-02-11,0.0
2020-02-12,0.0
2020-02-13,0.0
2020-02-14,0.0
2020-02-15,0.0
2020-02-16,0.0
2020-02-17,0.0
2020-02-18,0.0
2020-02-19,0.0
2020-02-20,0.0
2020-02-21,0.0
2020-02-22,0.0
2020-02-23,0.0
2020-02-24,0.0
2020-02-25,0.0
2020-02-26,0.0
2020-02-27,0.0
2020-02-28,0.0
2020-02-29,0.0
2020-03-01,0.0
2020-03-02,0.0
2020-03-03,1.0
2020-03-04,0.0
2020-03-05,0.0
2020-03-06,0.0
2020-03-07,0.0
2020-03-08,0.0
2020-03-09,0.0
2020-03-10,0.0
2020-03-11,0.0
2020-03-12,0.0
2020-03-13,2.0
2020-03-14,0.0
2020-03-15,0.0
2020-03-16,4.0
2020-03-17,7.0
2020-03-18,0.0
2020-03-19,2.0
2020-03-20,13.0
2020-03-21,18.0
2020-03-22,26.0
2020-03-23,0.0
2020-03-24,24.0
2020-03-25,48.0
2020-03-26,51.0
2020-03-27,114.0
2020-03-28,46.0
2020-03-29,119.0
2020-03-30,73.0
2020-03-31,97.0
2020-04-01,149.0
2020-04-02,103.0
2020-04-03,175.0
2020-04-04,153.0
2020-04-05,83.0
2020-04-06,11.0
2020-04-07,143.0
2020-04-08,206.0
2020-04-09,224.0
2020-04-10,311.0
2020-04-11,308.0
2020-04-12,266.0
2020-04-13,325.0
2020-04-14,270.0
2020-04-15,392.0
2020-04-16,397.0
2020-04-17,501.0
2020-04-18,444.0
2020-04-19,343.0
2020-04-20,261.0
2020-04-21,415.0
2020-04-22,467.0
2020-04-23,578.0
2020-04-24,477.0
2020-04-25,478.0
2020-04-26,492.0
2020-04-27,392.0
2020-04-28,401.0
2020-04-29,456.0
2020-04-30,540.0
2020-05-01,455.0
2020-05-02,550.0
2020-05-03,502.0
2020-05-04,418.0
2020-05-05,366.0
2020-05-06,487.0
2020-05-07,507.0
2020-05-08,504.0
2020-05-09,515.0
2020-05-10,522.0
2020-05-11,416.0
2020-05-12,375.0
2020-05-13,402.0
2020-05-14,422.0
2020-05-15,483.0
2020-05-16,528.0
2020-05-17,433.0
2020-05-18,325.0
2020-05-19,260.0
2020-05-20,354.0
2020-05-21,476.0
2020-05-22,442.0
2020-05-23,432.0
2020-05-24,406.0
2020-05-25,259.0
2020-05-26,339.0
2020-05-27,321.0
2020-05-28,477.0
2020-05-29,429.0
2020-05-30,393.0
2020-05-31,468.0
2020-06-01,890.0
2020-06-02,333.0
2020-06-03,490.0
2020-06-04,596.0
2020-06-05,561.0
2020-06-06,559.0
2020-06-07,498.0
2020-06-08,478.0
2020-06-09,402.0
2020-06-10,536.0
2020-06-11,691.0
2020-06-12,709.0
2020-06-13,762.0
2020-06-14,674.0
2020-06-15,685.0
2020-06-16,673.0
2020-06-17,777.0
2020-06-18,847.0
2020-06-19,922.0
2020-06-20,860.0
2020-06-21,746.0
2020-06-22,695.0
2020-06-23,845.0
2020-06-24,951.0
2020-06-25,1002.0
2020-06-26,1121.0
2020-06-27,957.0
2020-06-28,924.0
2020-06-29,682.0
2020-06-30,716.0
2020-07-01,670.0
2020-07-02,897.0
2020-07-03,884.0
2020-07-04,923.0
2020-07-05,840.0
2020-07-06,585.0
2020-07-07,569.0
2020-07-08,835.0
2020-07-09,828.0
2020-07-10,831.0
2020-07-11,825.0
2020-07-12,706.0
2020-07-13,638.0
2020-07-14,646.0
2020-07-15,848.0
2020-07-16,861.0
2020-07-17,826.0
2020-07-18,867.0
2020-07-19,744.0
2020-07-20,690.0
2020-07-21,687.0
2020-07-22,841.0
2020-07-23,874.0
2020-07-24,1004.0
2020-07-25,1144.0
2020-07-26,944.0
2020-07-27,835.0
2020-07-28,934.0
2020-07-29,1048.0
2020-07-30,1222.0
2020-07-31,1104.0
2020-08-01,1205.0
2020-08-02,1152.0
2020-08-03,1020.0
2020-08-04,1099.0
2020-08-05,1289.0
2020-08-06,1346.0
2020-08-07,1503.0
2020-08-08,1516.0
2020-08-09,1233.0
2020-08-10,1045.0
