date,confirmed
2020-01-22,0.0
2020-01-23,0.0
2020-01-24,0.0
2020-01-25,0.0
2020-01-26,0.0
2020-01-27,0.0
2020-01-28,0.0
2020-01-29,0.0
2020-01-30,0.0
2020-01-31,2.0
2020-02-01,2.0
2020-02-02,2.0
2020-02-03,2.0
2020-02-04,2.0
2020-02-05,2.0
2020-02-06,2.0
2020-02-07,3.0
2020-02-08,3.0
2020-02-09,3.0
2020-02-10,8.0
2020-02-11,8.0
2020-02-12,9.0
2020-02-13,9.0
2020-02-14,9.0
2020-02-15,9.0
2020-02-16,9.0
2020-02-17,9.0
2020-02-18,9.0
2020-02-19,9.0
2020-02-20,9.0
2020-02-21,9.0
2020-02-22,9.0
2020-02-23,9.0
2020-02-24,13.0
2020-02-25,13.0
2020-02-26,13.0
2020-02-27,15.0
2020-02-28,20.0
2020-02-29,23.0
2020-03-01,36.0
2020-03-02,40.0
2020-03-03,51.0
2020-03-04,86.0
2020-03-05,116.0
2020-03-06,164.0
2020-03-07,207.0
2020-03-08,274.0
2020-03-09,322.0
2020-03-10,384.0
2020-03-11,459.0
2020-03-12,459.0
2020-03-13,802.0
2020-03-14,1144.0
2020-03-15,1145.0
2020-03-16,1551.0
2020-03-17,1960.0
2020-03-18,2642.0
2020-03-19,2716.0
2020-03-20,4014.0
2020-03-21,5067.0
2020-03-22,5741.0
2020-03-23,5741.0
