date,current
2020-01-22,0
2020-01-23,0
2020-01-24,0
2020-01-25,0
2020-01-26,0
2020-01-27,0
2020-01-28,0
2020-01-29,0
2020-01-30,0
2020-01-31,2
2020-02-01,2
2020-02-02,2
2020-02-03,2
2020-02-04,2
2020-02-05,2
2020-02-06,2
2020-02-07,3
2020-02-08,3
2020-02-09,3
2020-02-10,8
2020-02-11,8
2020-02-12,8
2020-02-13,8
2020-02-14,8
2020-02-15,8
2020-02-16,1
2020-02-17,1
2020-02-18,1
2020-02-19,1
2020-02-20,1
2020-02-21,1
2020-02-22,1
2020-02-23,1
2020-02-24,5
2020-02-25,5
2020-02-26,5
2020-02-27,7
2020-02-28,12
2020-02-29,15
2020-03-01,28
2020-03-02,32
2020-03-03,43
2020-03-04,78
2020-03-05,107
2020-03-06,154
2020-03-07,187
2020-03-08,253
2020-03-09,300
2020-03-10,359
2020-03-11,432
2020-03-12,432
2020-03-13,775
2020-03-14,1104
2020-03-15,1105
2020-03-16,1474
2020-03-17,1851
2020-03-18,2503
2020-03-19,2511
2020-03-20,3769
2020-03-21,4766
