date,deaths
2020-01-22,0
2020-01-23,0
2020-01-24,0
2020-01-25,0
2020-01-26,0
2020-01-27,0
2020-01-28,0
2020-01-29,0
2020-01-30,0
2020-01-31,0
2020-02-01,0
2020-02-02,0
2020-02-03,0
2020-02-04,0
2020-02-05,0
2020-02-06,0
2020-02-07,0
2020-02-08,0
2020-02-09,0
2020-02-10,0
2020-02-11,0
2020-02-12,0
2020-02-13,0
2020-02-14,0
2020-02-15,0
2020-02-16,0
2020-02-17,0
2020-02-18,0
2020-02-19,0
2020-02-20,0
2020-02-21,0
2020-02-22,0
2020-02-23,0
2020-02-24,0
2020-02-25,0
2020-02-26,0
2020-02-27,0
2020-02-28,0
2020-02-29,0
2020-03-01,0
2020-03-02,0
2020-03-03,0
2020-03-04,0
2020-03-05,0
2020-03-06,1
2020-03-07,2
2020-03-08,2
2020-03-09,3
2020-03-10,7
2020-03-11,7
2020-03-12,9
2020-03-13,10
2020-03-14,29
2020-03-15,43
2020-03-16,66
2020-03-17,83
2020-03-18,117
2020-03-19,163
2020-03-20,195
2020-03-21,253
2020-03-22,289
2020-03-23,365
2020-03-24,513
2020-03-25,704
2020-03-26,886
2020-03-27,1174
2020-03-28,1466
2020-03-29,1679
2020-03-30,2053
2020-03-31,2457
2020-04-01,3130
2020-04-02,3787
2020-04-03,4524
2020-04-04,5281
2020-04-05,5882
2020-04-06,6452
2020-04-07,7557
2020-04-08,8589
2020-04-09,9706
2020-04-10,10829
2020-04-11,11673
2020-04-12,12330
2020-04-13,13055
2020-04-14,14135
2020-04-15,15019
2020-04-16,16059
2020-04-17,16973
2020-04-18,18081
2020-04-19,18514
2020-04-20,19090
2020-04-21,20314
2020-04-22,21171
2020-04-23,21855
2020-04-24,22873
2020-04-25,23689
2020-04-26,24053
2020-04-27,24376
2020-04-28,25347
2020-04-29,26118
2020-04-30,26754
2020-05-01,27454
2020-05-02,28039
2020-05-03,28292
2020-05-04,28565
2020-05-05,29290
2020-05-06,29937
2020-05-07,30395
2020-05-08,30975
2020-05-09,31250
2020-05-10,31467
2020-05-11,31655
2020-05-12,32270
2020-05-13,32718
2020-05-14,33071
2020-05-15,33422
2020-05-16,33833
2020-05-17,33900
2020-05-18,34046
2020-05-19,34547
2020-05-20,34876
2020-05-21,35149
2020-05-22,35440
2020-05-23,35660
2020-05-24,36039
2020-05-25,36143
2020-05-26,36274
2020-05-27,36696
2020-05-28,37039
2020-05-29,37313
2020-05-30,37467
2020-05-31,37527
2020-06-01,37613
2020-06-02,37863
2020-06-03,38117
2020-06-04,38247
2020-06-05,38505
2020-06-06,38648
2020-06-07,38702
2020-06-08,38749
2020-06-09,38946
2020-06-10,39110
2020-06-11,39186
2020-06-12,39317
2020-06-13,39424
2020-06-14,39451
2020-06-15,39480
2020-06-16,39600
2020-06-17,39710
2020-06-18,39777
2020-06-19,39861
2020-06-20,39932
2020-06-21,39963
2020-06-22,39976
2020-06-23,40070
2020-06-24,40157
2020-06-25,40256
2020-06-26,40333
2020-06-27,40373
2020-06-28,40404
2020-06-29,40425
2020-06-30,40479
2020-07-01,40576
2020-07-02,40617
2020-07-03,40666
2020-07-04,40698
2020-07-05,40717
2020-07-06,40728
2020-07-07,40782
2020-07-08,40839
2020-07-09,40870
2020-07-10,40904
2020-07-11,40921
2020-07-12,40930
2020-07-13,40940
2020-07-14,40984
2020-07-15,41010
2020-07-16,41034
2020-07-17,41060
2020-07-18,41069
2020-07-19,41080
2020-07-20,41090
2020-07-21,41115
2020-07-22,41132
2020-07-23,41141
2020-07-24,41173
2020-07-25,41188
2020-07-26,41196
2020-07-27,41199
2020-07-28,41220
2020-07-29,41254
2020-07-30,41254
2020-07-31,41274
2020-08-01,41287
2020-08-02,41292
2020-08-03,41293
2020-08-04,41311
2020-08-05,41325
2020-08-06,41343
2020-08-07,41355
2020-08-08,41358
2020-08-09,41363
2020-08-10,41381
2020-08-11,41394
2020-08-12,41414
2020-08-13,41432
2020-08-14,41443
2020-08-15,41446
2020-08-16,41451
2020-08-17,41454
2020-08-18,41466
2020-08-19,41483
2020-08-20,41489
2020-08-21,41491
2020-08-22,41509
2020-08-23,41515
2020-08-24,41519
2020-08-25,41535
2020-08-26,41552
2020-08-27,41564
2020-08-28,41573
2020-08-29,41585
2020-08-30,41586
2020-08-31,41589
2020-09-01,41592
2020-09-02,41602
2020-09-03,41616
2020-09-04,41626
2020-09-05,41638
2020-09-06,41640
2020-09-07,41643
2020-09-08,41675
2020-09-09,41683
2020-09-10,41697
2020-09-11,41703
2020-09-12,41712
2020-09-13,41717
2020-09-14,41726
2020-09-15,41753
2020-09-16,41773
2020-09-17,41794
2020-09-18,41821
2020-09-19,41848
2020-09-20,41866
2020-09-21,41877
2020-09-22,41914
2020-09-23,41951
2020-09-24,41991
2020-09-25,42025
2020-09-26,42060
2020-09-27,42077
2020-09-28,42090
2020-09-29,42162
2020-09-30,42233
2020-10-01,42292
2020-10-02,42358
2020-10-03,42407
2020-10-04,42440
2020-10-05,42459
2020-10-06,42535
2020-10-07,42605
2020-10-08,42682
2020-10-09,42769
2020-10-10,42850
2020-10-11,42915
2020-10-12,42965
