date,new
2020-01-22,0.0
2020-01-23,0.0
2020-01-24,0.0
2020-01-25,0.0
2020-01-26,0.0
2020-01-27,0.0
2020-01-28,0.0
2020-01-29,0.0
2020-01-30,0.0
2020-01-31,2.0
2020-02-01,0.0
2020-02-02,0.0
2020-02-03,0.0
2020-02-04,0.0
2020-02-05,0.0
2020-02-06,0.0
2020-02-07,1.0
2020-02-08,0.0
2020-02-09,0.0
2020-02-10,5.0
2020-02-11,0.0
2020-02-12,1.0
2020-02-13,0.0
2020-02-14,0.0
2020-02-15,0.0
2020-02-16,0.0
2020-02-17,0.0
2020-02-18,0.0
2020-02-19,0.0
2020-02-20,0.0
2020-02-21,0.0
2020-02-22,0.0
2020-02-23,0.0
2020-02-24,4.0
2020-02-25,0.0
2020-02-26,0.0
2020-02-27,2.0
2020-02-28,5.0
2020-02-29,3.0
2020-03-01,13.0
2020-03-02,4.0
2020-03-03,11.0
2020-03-04,35.0
2020-03-05,30.0
2020-03-06,48.0
2020-03-07,43.0
2020-03-08,67.0
2020-03-09,48.0
2020-03-10,62.0
2020-03-11,75.0
2020-03-12,0.0
2020-03-13,343.0
2020-03-14,342.0
2020-03-15,1.0
2020-03-16,406.0
2020-03-17,409.0
2020-03-18,682.0
2020-03-19,74.0
2020-03-20,1298.0
2020-03-21,1053.0
2020-03-22,678.0
2020-03-23,981.0
2020-03-24,1438.0
2020-03-25,1476.0
2020-03-26,2172.0
2020-03-27,2933.0
