date,recovered
2020-01-22,0.0
2020-01-23,0.0
2020-01-24,0.0
2020-01-25,0.0
2020-01-26,0.0
2020-01-27,0.0
2020-01-28,0.0
2020-01-29,0.0
2020-01-30,0.0
2020-01-31,0.0
2020-02-01,0.0
2020-02-02,0.0
2020-02-03,0.0
2020-02-04,0.0
2020-02-05,0.0
2020-02-06,0.0
2020-02-07,0.0
2020-02-08,0.0
2020-02-09,0.0
2020-02-10,0.0
2020-02-11,0.0
2020-02-12,1.0
2020-02-13,1.0
2020-02-14,1.0
2020-02-15,1.0
2020-02-16,8.0
2020-02-17,8.0
2020-02-18,8.0
2020-02-19,8.0
2020-02-20,8.0
2020-02-21,8.0
2020-02-22,8.0
2020-02-23,8.0
2020-02-24,8.0
2020-02-25,8.0
2020-02-26,8.0
2020-02-27,8.0
2020-02-28,8.0
2020-02-29,8.0
2020-03-01,8.0
2020-03-02,8.0
2020-03-03,8.0
2020-03-04,8.0
2020-03-05,8.0
2020-03-06,8.0
2020-03-07,18.0
2020-03-08,18.0
2020-03-09,18.0
2020-03-10,19.0
2020-03-11,19.0
2020-03-12,19.0
2020-03-13,19.0
2020-03-14,19.0
2020-03-15,19.0
2020-03-16,21.0
2020-03-17,53.0
2020-03-18,67.0
2020-03-19,67.0
2020-03-20,67.0
2020-03-21,67.0
2020-03-22,67.0
