date,confirmed
2020-01-22,0
2020-01-23,0
2020-01-24,0
2020-01-25,0
2020-01-26,0
2020-01-27,0
2020-01-28,0
2020-01-29,0
2020-01-30,0
2020-01-31,0
2020-02-01,0
2020-02-02,0
2020-02-03,0
2020-02-04,0
2020-02-05,0
2020-02-06,0
2020-02-07,0
2020-02-08,0
2020-02-09,0
2020-02-10,0
2020-02-11,0
2020-02-12,0
2020-02-13,0
2020-02-14,0
2020-02-15,0
2020-02-16,0
2020-02-17,0
2020-02-18,0
2020-02-19,0
2020-02-20,0
2020-02-21,0
2020-02-22,0
2020-02-23,0
2020-02-24,0
2020-02-25,0
2020-02-26,0
2020-02-27,0
2020-02-28,0
2020-02-29,0
2020-03-01,0
2020-03-02,0
2020-03-03,0
2020-03-04,0
2020-03-05,0
2020-03-06,0
2020-03-07,0
2020-03-08,0
2020-03-09,0
2020-03-10,0
2020-03-11,0
2020-03-12,0
2020-03-13,4
2020-03-14,6
2020-03-15,8
2020-03-16,29
2020-03-17,50
2020-03-18,79
2020-03-19,94
2020-03-20,110
2020-03-21,135
2020-03-22,158
2020-03-23,162
2020-03-24,189
2020-03-25,217
2020-03-26,238
2020-03-27,274
2020-03-28,303
2020-03-29,309
2020-03-30,320
2020-03-31,338
2020-04-01,350
2020-04-02,369
2020-04-03,386
2020-04-04,400
2020-04-05,406
2020-04-06,415
2020-04-07,424
2020-04-08,456
2020-04-09,473
2020-04-10,494
2020-04-11,501
2020-04-12,480
2020-04-13,483
2020-04-14,492
2020-04-15,493
2020-04-16,502
2020-04-17,508
2020-04-18,517
2020-04-19,528
2020-04-20,535
2020-04-21,543
2020-04-22,549
2020-04-23,557
2020-04-24,563
2020-04-25,596
2020-04-26,606
2020-04-27,620
2020-04-28,625
2020-04-29,630
2020-04-30,643
2020-05-01,648
2020-05-02,652
2020-05-03,655
2020-05-04,657
2020-05-05,670
2020-05-06,673
2020-05-07,684
2020-05-08,694
2020-05-09,702
2020-05-10,707
2020-05-11,711
2020-05-12,717
2020-05-13,719
2020-05-14,724
2020-05-15,732
2020-05-16,733
2020-05-17,734
2020-05-18,737
2020-05-19,738
2020-05-20,746
2020-05-21,749
2020-05-22,753
2020-05-23,764
2020-05-24,769
2020-05-25,787
2020-05-26,789
2020-05-27,803
2020-05-28,811
2020-05-29,816
2020-05-30,821
2020-05-31,823
2020-06-01,825
2020-06-02,826
2020-06-03,828
2020-06-04,832
2020-06-05,834
2020-06-06,845
2020-06-07,845
2020-06-08,845
2020-06-09,846
2020-06-10,847
2020-06-11,847
2020-06-12,847
2020-06-13,847
2020-06-14,848
2020-06-15,848
2020-06-16,849
2020-06-17,849
2020-06-18,850
2020-06-19,853
2020-06-20,859
2020-06-21,876
2020-06-22,882
2020-06-23,885
2020-06-24,902
2020-06-25,907
2020-06-26,919
2020-06-27,924
2020-06-28,929
2020-06-29,932
2020-06-30,936
2020-07-01,943
2020-07-02,947
2020-07-03,952
2020-07-04,955
2020-07-05,956
2020-07-06,960
2020-07-07,965
2020-07-08,974
2020-07-09,977
2020-07-10,985
2020-07-11,986
2020-07-12,987
2020-07-13,989
2020-07-14,997
2020-07-15,1009
2020-07-16,1026
2020-07-17,1037
2020-07-18,1044
2020-07-19,1054
2020-07-20,1064
2020-07-21,1096
2020-07-22,1117
2020-07-23,1141
2020-07-24,1166
2020-07-25,1174
2020-07-26,1192
2020-07-27,1202
2020-07-28,1218
2020-07-29,1237
2020-07-30,1243
2020-07-31,1264
2020-08-01,1278
2020-08-02,1286
2020-08-03,1291
2020-08-04,1300
2020-08-05,1309
2020-08-06,1318
2020-08-07,1325
2020-08-08,1335
2020-08-09,1353
