date,deaths
2020-01-22,0
2020-01-23,0
2020-01-24,0
2020-01-25,0
2020-01-26,0
2020-01-27,0
2020-01-28,0
2020-01-29,0
2020-01-30,0
2020-01-31,0
2020-02-01,0
2020-02-02,0
2020-02-03,0
2020-02-04,0
2020-02-05,0
2020-02-06,0
2020-02-07,0
2020-02-08,0
2020-02-09,0
2020-02-10,0
2020-02-11,0
2020-02-12,0
2020-02-13,0
2020-02-14,0
2020-02-15,0
2020-02-16,0
2020-02-17,0
2020-02-18,0
2020-02-19,0
2020-02-20,0
2020-02-21,0
2020-02-22,0
2020-02-23,0
2020-02-24,0
2020-02-25,0
2020-02-26,0
2020-02-27,0
2020-02-28,0
2020-02-29,0
2020-03-01,0
2020-03-02,0
2020-03-03,0
2020-03-04,0
2020-03-05,0
2020-03-06,0
2020-03-07,0
2020-03-08,0
2020-03-09,0
2020-03-10,0
2020-03-11,0
2020-03-12,0
2020-03-13,0
2020-03-14,0
2020-03-15,0
2020-03-16,0
2020-03-17,0
2020-03-18,0
2020-03-19,0
2020-03-20,0
2020-03-21,0
2020-03-22,0
2020-03-23,0
2020-03-24,0
2020-03-25,0
2020-03-26,0
2020-03-27,0
2020-03-28,1
2020-03-29,1
2020-03-30,1
2020-03-31,1
2020-04-01,2
2020-04-02,4
2020-04-03,4
2020-04-04,5
2020-04-05,6
2020-04-06,6
2020-04-07,7
2020-04-08,7
2020-04-09,7
2020-04-10,7
2020-04-11,7
2020-04-12,7
2020-04-13,8
2020-04-14,8
2020-04-15,9
2020-04-16,9
2020-04-17,9
2020-04-18,9
2020-04-19,10
2020-04-20,10
2020-04-21,12
2020-04-22,12
2020-04-23,12
2020-04-24,12
2020-04-25,14
2020-04-26,15
2020-04-27,15
2020-04-28,15
2020-04-29,15
2020-04-30,17
2020-05-01,17
2020-05-02,17
2020-05-03,17
2020-05-04,17
2020-05-05,17
2020-05-06,17
2020-05-07,17
2020-05-08,18
2020-05-09,18
2020-05-10,19
2020-05-11,19
2020-05-12,19
2020-05-13,19
2020-05-14,19
2020-05-15,19
2020-05-16,19
2020-05-17,20
2020-05-18,20
2020-05-19,20
2020-05-20,20
2020-05-21,20
2020-05-22,20
2020-05-23,22
2020-05-24,22
2020-05-25,22
2020-05-26,22
2020-05-27,22
2020-05-28,22
2020-05-29,22
2020-05-30,22
2020-05-31,22
2020-06-01,23
2020-06-02,23
2020-06-03,23
2020-06-04,23
2020-06-05,23
2020-06-06,23
2020-06-07,23
2020-06-08,23
2020-06-09,23
2020-06-10,23
2020-06-11,23
2020-06-12,23
2020-06-13,23
2020-06-14,23
2020-06-15,23
2020-06-16,24
2020-06-17,24
2020-06-18,24
2020-06-19,24
2020-06-20,25
2020-06-21,25
2020-06-22,25
2020-06-23,25
2020-06-24,26
2020-06-25,26
2020-06-26,26
2020-06-27,26
2020-06-28,27
2020-06-29,27
2020-06-30,27
2020-07-01,28
2020-07-02,28
2020-07-03,28
2020-07-04,28
2020-07-05,28
2020-07-06,29
2020-07-07,29
2020-07-08,29
2020-07-09,29
2020-07-10,29
2020-07-11,30
2020-07-12,31
2020-07-13,31
2020-07-14,31
2020-07-15,31
2020-07-16,32
2020-07-17,32
2020-07-18,33
2020-07-19,33
2020-07-20,33
2020-07-21,33
2020-07-22,34
2020-07-23,34
2020-07-24,34
2020-07-25,34
2020-07-26,34
2020-07-27,35
2020-07-28,35
2020-07-29,35
2020-07-30,35
2020-07-31,35
2020-08-01,35
2020-08-02,36
2020-08-03,36
2020-08-04,37
2020-08-05,37
2020-08-06,37
2020-08-07,37
2020-08-08,37
2020-08-09,37
2020-08-10,37
