date,new
2020-01-22,0.0
2020-01-23,0.0
2020-01-24,0.0
2020-01-25,0.0
2020-01-26,0.0
2020-01-27,0.0
2020-01-28,0.0
2020-01-29,0.0
2020-01-30,0.0
2020-01-31,0.0
2020-02-01,0.0
2020-02-02,0.0
2020-02-03,0.0
2020-02-04,0.0
2020-02-05,0.0
2020-02-06,0.0
2020-02-07,0.0
2020-02-08,0.0
2020-02-09,0.0
2020-02-10,0.0
2020-02-11,0.0
2020-02-12,0.0
2020-02-13,0.0
2020-02-14,0.0
2020-02-15,0.0
2020-02-16,0.0
2020-02-17,0.0
2020-02-18,0.0
2020-02-19,0.0
2020-02-20,0.0
2020-02-21,0.0
2020-02-22,0.0
2020-02-23,0.0
2020-02-24,0.0
2020-02-25,0.0
2020-02-26,0.0
2020-02-27,0.0
2020-02-28,0.0
2020-02-29,0.0
2020-03-01,0.0
2020-03-02,0.0
2020-03-03,0.0
2020-03-04,0.0
2020-03-05,0.0
2020-03-06,0.0
2020-03-07,0.0
2020-03-08,0.0
2020-03-09,0.0
2020-03-10,0.0
2020-03-11,0.0
2020-03-12,0.0
2020-03-13,4.0
2020-03-14,2.0
2020-03-15,2.0
2020-03-16,21.0
2020-03-17,21.0
2020-03-18,29.0
2020-03-19,15.0
2020-03-20,16.0
2020-03-21,25.0
2020-03-22,23.0
2020-03-23,4.0
2020-03-24,27.0
2020-03-25,28.0
2020-03-26,21.0
2020-03-27,36.0
2020-03-28,29.0
2020-03-29,6.0
2020-03-30,11.0
2020-03-31,18.0
2020-04-01,12.0
2020-04-02,19.0
2020-04-03,17.0
2020-04-04,14.0
2020-04-05,6.0
2020-04-06,9.0
2020-04-07,9.0
2020-04-08,32.0
2020-04-09,17.0
2020-04-10,21.0
2020-04-11,7.0
2020-04-12,-21.0
2020-04-13,3.0
2020-04-14,9.0
2020-04-15,1.0
2020-04-16,9.0
2020-04-17,6.0
2020-04-18,9.0
2020-04-19,11.0
2020-04-20,7.0
2020-04-21,8.0
2020-04-22,6.0
2020-04-23,8.0
2020-04-24,6.0
2020-04-25,33.0
2020-04-26,10.0
2020-04-27,14.0
2020-04-28,5.0
2020-04-29,5.0
2020-04-30,13.0
2020-05-01,5.0
2020-05-02,4.0
2020-05-03,3.0
2020-05-04,2.0
2020-05-05,13.0
2020-05-06,3.0
2020-05-07,11.0
2020-05-08,10.0
2020-05-09,8.0
2020-05-10,5.0
2020-05-11,4.0
2020-05-12,6.0
2020-05-13,2.0
2020-05-14,5.0
2020-05-15,8.0
2020-05-16,1.0
2020-05-17,1.0
2020-05-18,3.0
2020-05-19,1.0
2020-05-20,8.0
2020-05-21,3.0
2020-05-22,4.0
2020-05-23,11.0
2020-05-24,5.0
2020-05-25,18.0
2020-05-26,2.0
2020-05-27,14.0
2020-05-28,8.0
2020-05-29,5.0
2020-05-30,5.0
2020-05-31,2.0
2020-06-01,2.0
2020-06-02,1.0
2020-06-03,2.0
2020-06-04,4.0
2020-06-05,2.0
2020-06-06,11.0
2020-06-07,0.0
2020-06-08,0.0
2020-06-09,1.0
2020-06-10,1.0
2020-06-11,0.0
2020-06-12,0.0
2020-06-13,0.0
2020-06-14,1.0
2020-06-15,0.0
2020-06-16,1.0
2020-06-17,0.0
2020-06-18,1.0
2020-06-19,3.0
2020-06-20,6.0
2020-06-21,17.0
2020-06-22,6.0
2020-06-23,3.0
2020-06-24,17.0
2020-06-25,5.0
2020-06-26,12.0
2020-06-27,5.0
2020-06-28,5.0
2020-06-29,3.0
2020-06-30,4.0
2020-07-01,7.0
2020-07-02,4.0
2020-07-03,5.0
2020-07-04,3.0
2020-07-05,1.0
2020-07-06,4.0
2020-07-07,5.0
2020-07-08,9.0
2020-07-09,3.0
2020-07-10,8.0
2020-07-11,1.0
2020-07-12,1.0
2020-07-13,2.0
2020-07-14,8.0
2020-07-15,12.0
2020-07-16,17.0
2020-07-17,11.0
2020-07-18,7.0
2020-07-19,10.0
2020-07-20,10.0
2020-07-21,32.0
2020-07-22,21.0
2020-07-23,24.0
2020-07-24,25.0
2020-07-25,8.0
2020-07-26,18.0
2020-07-27,10.0
2020-07-28,16.0
2020-07-29,19.0
2020-07-30,6.0
2020-07-31,21.0
2020-08-01,14.0
2020-08-02,8.0
2020-08-03,5.0
2020-08-04,9.0
2020-08-05,9.0
2020-08-06,9.0
2020-08-07,7.0
2020-08-08,10.0
