date,confirmed
2020-01-22,1
2020-01-23,1
2020-01-24,2
2020-01-25,2
2020-01-26,5
2020-01-27,5
2020-01-28,5
2020-01-29,6
2020-01-30,6
2020-01-31,8
2020-02-01,8
2020-02-02,8
2020-02-03,11
2020-02-04,11
2020-02-05,11
2020-02-06,12
2020-02-07,12
2020-02-08,12
2020-02-09,12
2020-02-10,12
2020-02-11,13
2020-02-12,13
2020-02-13,14
2020-02-14,14
2020-02-15,14
2020-02-16,14
2020-02-17,14
2020-02-18,14
2020-02-19,14
2020-02-20,14
2020-02-21,16
2020-02-22,16
2020-02-23,16
2020-02-24,16
2020-02-25,16
2020-02-26,16
2020-02-27,17
2020-02-28,17
2020-02-29,25
2020-03-01,32
2020-03-02,55
2020-03-03,74
2020-03-04,107
2020-03-05,184
2020-03-06,237
2020-03-07,403
2020-03-08,519
2020-03-09,594
2020-03-10,782
2020-03-11,1147
2020-03-12,1586
2020-03-13,2219
2020-03-14,2978
2020-03-15,3212
2020-03-16,4679
2020-03-17,6511
2020-03-18,9165
2020-03-19,13659
2020-03-20,20026
2020-03-21,26022
2020-03-22,34824
2020-03-23,46043
2020-03-24,56620
2020-03-25,68654
2020-03-26,86548
2020-03-27,105179
2020-03-28,124786
2020-03-29,143715
2020-03-30,165728
2020-03-31,192091
2020-04-01,217910
2020-04-02,248302
2020-04-03,280302
2020-04-04,313303
2020-04-05,341487
2020-04-06,371672
2020-04-07,403071
2020-04-08,435087
2020-04-09,469735
2020-04-10,503271
2020-04-11,532628
2020-04-12,559587
2020-04-13,585378
2020-04-14,613969
2020-04-15,643977
2020-04-16,675499
2020-04-17,708305
2020-04-18,736156
2020-04-19,761837
2020-04-20,790259
2020-04-21,816297
2020-04-22,845594
2020-04-23,879025
2020-04-24,912591
2020-04-25,944392
2020-04-26,971491
2020-04-27,994665
2020-04-28,1019339
2020-04-29,1047184
2020-04-30,1076689
2020-05-01,1110909
2020-05-02,1138911
2020-05-03,1163413
2020-05-04,1186815
2020-05-05,1211378
2020-05-06,1236525
2020-05-07,1264315
2020-05-08,1291197
2020-05-09,1316165
2020-05-10,1335021
2020-05-11,1354468
2020-05-12,1377226
2020-05-13,1398192
2020-05-14,1425500
2020-05-15,1450798
2020-05-16,1474811
2020-05-17,1492925
2020-05-18,1514937
2020-05-19,1535981
2020-05-20,1559486
2020-05-21,1585151
2020-05-22,1608589
2020-05-23,1629786
2020-05-24,1649900
2020-05-25,1668217
2020-05-26,1687741
2020-05-27,1706331
2020-05-28,1729279
2020-05-29,1753630
2020-05-30,1777473
2020-05-31,1796645
2020-06-01,1814009
2020-06-02,1835382
2020-06-03,1855359
2020-06-04,1877078
2020-06-05,1902245
2020-06-06,1924081
2020-06-07,1941868
2020-06-08,1959396
2020-06-09,1977765
2020-06-10,1998589
2020-06-11,2021786
2020-06-12,2046651
2020-06-13,2071911
2020-06-14,2091283
2020-06-15,2111207
2020-06-16,2135002
2020-06-17,2160906
2020-06-18,2189091
2020-06-19,2220401
2020-06-20,2252655
2020-06-21,2278761
2020-06-22,2309243
2020-06-23,2345008
2020-06-24,2379473
2020-06-25,2420009
2020-06-26,2465323
2020-06-27,2507672
2020-06-28,2547023
2020-06-29,2587708
2020-06-30,2633871
2020-07-01,2685191
2020-07-02,2740301
2020-07-03,2792849
2020-07-04,2838589
2020-07-05,2888566
2020-07-06,2933216
2020-07-07,2993372
2020-07-08,3052545
2020-07-09,3115816
2020-07-10,3183535
2020-07-11,3243686
2020-07-12,3302565
2020-07-13,3362035
2020-07-14,3428992
2020-07-15,3496615
2020-07-16,3573977
2020-07-17,3645987
2020-07-18,3708735
2020-07-19,3769990
2020-07-20,3831932
2020-07-21,3896363
2020-07-22,3967668
2020-07-23,4036741
2020-07-24,4109848
2020-07-25,4176302
2020-07-26,4231104
2020-07-27,4287684
2020-07-28,4353477
2020-07-29,4424779
2020-07-30,4492558
2020-07-31,4559711
2020-08-01,4617614
2020-08-02,4664943
2020-08-03,4709773
2020-08-04,4767233
2020-08-05,4820885
2020-08-06,4880525
2020-08-07,4938857
2020-08-08,4994547
2020-08-09,5040670
2020-08-10,5090430
2020-08-11,5137333
2020-08-12,5194337
2020-08-13,5246314
2020-08-14,5310915
2020-08-15,5358340
2020-08-16,5399753
2020-08-17,5435692
2020-08-18,5481046
2020-08-19,5528376
2020-08-20,5572457
2020-08-21,5620676
2020-08-22,5665086
2020-08-23,5699515
2020-08-24,5737369
2020-08-25,5775598
2020-08-26,5820689
2020-08-27,5866560
2020-08-28,5912756
2020-08-29,5958776
2020-08-30,5994130
2020-08-31,6028642
2020-09-01,6071171
2020-09-02,6111774
2020-09-03,6155692
2020-09-04,6205799
2020-09-05,6249850
2020-09-06,6280981
2020-09-07,6305037
2020-09-08,6331773
2020-09-09,6365325
2020-09-10,6401685
2020-09-11,6449207
2020-09-12,6490330
2020-09-13,6524954
2020-09-14,6558900
2020-09-15,6598091
2020-09-16,6636642
2020-09-17,6681372
2020-09-18,6730088
2020-09-19,6774138
2020-09-20,6810352
2020-09-21,6862816
2020-09-22,6901781
2020-09-23,6940214
2020-09-24,6984346
2020-09-25,7034931
2020-09-26,7079803
2020-09-27,7116225
2020-09-28,7149537
2020-09-29,7191637
2020-09-30,7233042
2020-10-01,7277791
2020-10-02,7332297
2020-10-03,7382341
2020-10-04,7417845
2020-10-05,7457402
2020-10-06,7499341
2020-10-07,7549682
2020-10-08,7605873
2020-10-09,7663293
2020-10-10,7717932
2020-10-11,7762546
2020-10-12,7804199
