date,current
2020-01-22,1
2020-01-23,1
2020-01-24,2
2020-01-25,2
2020-01-26,5
2020-01-27,5
2020-01-28,5
2020-01-29,5
2020-01-30,5
2020-01-31,7
2020-02-01,8
2020-02-02,8
2020-02-03,11
2020-02-04,11
2020-02-05,11
2020-02-06,11
2020-02-07,11
2020-02-08,11
2020-02-09,8
2020-02-10,8
2020-02-11,9
2020-02-12,9
2020-02-13,10
2020-02-14,10
2020-02-15,10
2020-02-16,10
2020-02-17,10
2020-02-18,10
2020-02-19,10
2020-02-20,10
2020-02-21,10
2020-02-22,10
2020-02-23,10
2020-02-24,46
2020-02-25,45
2020-02-26,51
2020-02-27,52
2020-02-28,53
2020-02-29,60
2020-03-01,66
2020-03-02,85
2020-03-03,104
2020-03-04,131
2020-03-05,198
2020-03-06,241
2020-03-07,378
2020-03-08,490
2020-03-09,554
2020-03-10,923
2020-03-11,1237
2020-03-12,1611
2020-03-13,2120
2020-03-14,2661
2020-03-15,3424
2020-03-16,4530
2020-03-17,6296
2020-03-18,7665
2020-03-19,13477
2020-03-20,18856
