date,deaths
2020-01-22,0
2020-01-23,0
2020-01-24,0
2020-01-25,0
2020-01-26,0
2020-01-27,0
2020-01-28,0
2020-01-29,0
2020-01-30,0
2020-01-31,0
2020-02-01,0
2020-02-02,0
2020-02-03,0
2020-02-04,0
2020-02-05,0
2020-02-06,0
2020-02-07,0
2020-02-08,0
2020-02-09,0
2020-02-10,0
2020-02-11,0
2020-02-12,0
2020-02-13,0
2020-02-14,0
2020-02-15,0
2020-02-16,0
2020-02-17,0
2020-02-18,0
2020-02-19,0
2020-02-20,0
2020-02-21,0
2020-02-22,0
2020-02-23,0
2020-02-24,0
2020-02-25,0
2020-02-26,0
2020-02-27,0
2020-02-28,0
2020-02-29,1
2020-03-01,1
2020-03-02,6
2020-03-03,7
2020-03-04,11
2020-03-05,12
2020-03-06,14
2020-03-07,17
2020-03-08,21
2020-03-09,22
2020-03-10,28
2020-03-11,33
2020-03-12,43
2020-03-13,51
2020-03-14,58
2020-03-15,70
2020-03-16,97
2020-03-17,132
2020-03-18,191
2020-03-19,265
2020-03-20,364
2020-03-21,464
2020-03-22,574
2020-03-23,763
2020-03-24,1002
2020-03-25,1326
2020-03-26,1734
2020-03-27,2254
2020-03-28,2886
2020-03-29,3472
2020-03-30,4164
2020-03-31,5252
2020-04-01,6422
2020-04-02,7924
2020-04-03,9313
2020-04-04,10843
2020-04-05,12426
2020-04-06,14196
2020-04-07,16767
2020-04-08,18913
2020-04-09,21141
2020-04-10,23359
2020-04-11,25488
2020-04-12,27294
2020-04-13,29240
2020-04-14,31692
2020-04-15,34301
2020-04-16,36477
2020-04-17,38570
2020-04-18,40530
2020-04-19,42461
2020-04-20,44647
2020-04-21,47195
2020-04-22,49629
2020-04-23,52101
2020-04-24,54255
2020-04-25,55953
2020-04-26,57282
2020-04-27,58748
2020-04-28,60989
2020-04-29,63510
2020-04-30,65930
2020-05-01,67808
2020-05-02,69495
2020-05-03,70591
2020-05-04,71903
2020-05-05,74207
2020-05-06,76556
2020-05-07,78484
2020-05-08,80231
2020-05-09,81781
2020-05-10,82670
2020-05-11,83676
2020-05-12,85289
2020-05-13,87035
2020-05-14,88812
2020-05-15,90482
2020-05-16,91756
2020-05-17,92504
2020-05-18,93669
2020-05-19,95195
2020-05-20,96715
2020-05-21,97922
2020-05-22,99166
2020-05-23,100297
2020-05-24,100908
2020-05-25,101456
2020-05-26,102107
2020-05-27,103625
2020-05-28,104803
2020-05-29,105963
2020-05-30,106926
2020-05-31,107614
2020-06-01,108388
2020-06-02,109444
2020-06-03,110441
2020-06-04,111450
2020-06-05,112348
2020-06-06,113054
2020-06-07,113492
2020-06-08,113984
2020-06-09,114925
2020-06-10,115822
2020-06-11,116682
2020-06-12,117500
2020-06-13,118270
2020-06-14,118578
2020-06-15,118954
2020-06-16,119778
2020-06-17,120511
2020-06-18,121222
2020-06-19,121892
2020-06-20,122510
2020-06-21,122795
2020-06-22,123175
2020-06-23,124019
2020-06-24,124776
2020-06-25,125327
2020-06-26,125944
2020-06-27,126448
2020-06-28,126721
2020-06-29,127098
2020-06-30,127753
2020-07-01,128441
2020-07-02,129165
2020-07-03,129824
2020-07-04,130089
2020-07-05,130377
2020-07-06,130732
2020-07-07,131945
2020-07-08,132806
2020-07-09,133806
2020-07-10,134628
2020-07-11,135325
2020-07-12,135784
2020-07-13,136143
2020-07-14,137068
2020-07-15,138034
2020-07-16,138977
2020-07-17,139907
2020-07-18,140776
2020-07-19,141223
2020-07-20,141736
2020-07-21,142843
2020-07-22,144059
2020-07-23,145153
2020-07-24,146285
2020-07-25,147184
2020-07-26,147656
2020-07-27,148776
2020-07-28,150150
2020-07-29,151582
2020-07-30,152791
2020-07-31,154047
2020-08-01,155162
2020-08-02,155565
2020-08-03,156092
2020-08-04,157469
2020-08-05,158844
2020-08-06,160095
2020-08-07,161337
2020-08-08,162419
2020-08-09,162930
2020-08-10,163456
2020-08-11,164519
2020-08-12,166022
2020-08-13,167091
2020-08-14,168427
2020-08-15,169463
2020-08-16,170034
2020-08-17,170478
2020-08-18,171802
2020-08-19,173152
2020-08-20,174231
2020-08-21,175336
2020-08-22,176326
2020-08-23,176776
2020-08-24,177213
2020-08-25,178449
2020-08-26,179674
2020-08-27,180785
2020-08-28,181756
2020-08-29,182714
2020-08-30,183024
2020-08-31,183616
2020-09-01,184681
2020-09-02,185736
2020-09-03,186802
2020-09-04,187767
2020-09-05,188552
2020-09-06,188955
2020-09-07,189222
2020-09-08,189663
2020-09-09,190853
2020-09-10,191768
2020-09-11,192979
2020-09-12,193693
2020-09-13,194071
2020-09-14,194493
2020-09-15,195781
2020-09-16,196764
2020-09-17,197634
2020-09-18,198570
2020-09-19,199282
2020-09-20,199509
2020-09-21,199865
2020-09-22,200786
2020-09-23,201885
2020-09-24,202798
2020-09-25,203750
2020-09-26,204490
2020-09-27,204756
2020-09-28,205072
2020-09-29,205986
2020-09-30,206932
2020-10-01,207790
2020-10-02,208697
2020-10-03,209384
2020-10-04,209721
2020-10-05,210181
2020-10-06,210886
2020-10-07,211801
2020-10-08,212762
2020-10-09,213752
2020-10-10,214370
2020-10-11,214768
2020-10-12,215085
