date,new
2020-01-22,0.0
2020-01-23,0.0
2020-01-24,1.0
2020-01-25,0.0
2020-01-26,3.0
2020-01-27,0.0
2020-01-28,0.0
2020-01-29,0.0
2020-01-30,0.0
2020-01-31,2.0
2020-02-01,1.0
2020-02-02,0.0
2020-02-03,3.0
2020-02-04,0.0
2020-02-05,0.0
2020-02-06,0.0
2020-02-07,0.0
2020-02-08,0.0
2020-02-09,0.0
2020-02-10,0.0
2020-02-11,1.0
2020-02-12,0.0
2020-02-13,1.0
2020-02-14,0.0
2020-02-15,0.0
2020-02-16,0.0
2020-02-17,0.0
2020-02-18,0.0
2020-02-19,0.0
2020-02-20,0.0
2020-02-21,2.0
2020-02-22,0.0
2020-02-23,0.0
2020-02-24,36.0
2020-02-25,0.0
2020-02-26,6.0
2020-02-27,1.0
2020-02-28,2.0
2020-02-29,8.0
2020-03-01,6.0
2020-03-02,24.0
2020-03-03,20.0
2020-03-04,31.0
2020-03-05,68.0
2020-03-06,45.0
2020-03-07,140.0
2020-03-08,116.0
2020-03-09,65.0
2020-03-10,376.0
2020-03-11,322.0
2020-03-12,382.0
2020-03-13,516.0
2020-03-14,548.0
2020-03-15,772.0
2020-03-16,1133.0
2020-03-17,1789.0
2020-03-18,1362.0
2020-03-19,5964.0
2020-03-20,5526.0
2020-03-21,6327.0
2020-03-22,7676.0
2020-03-23,10567.0
2020-03-24,9893.0
2020-03-25,12042.0
2020-03-26,18058.0
2020-03-27,17821.0
2020-03-28,19808.0
2020-03-29,19444.0
2020-03-30,20922.0
2020-03-31,26341.0
2020-04-01,25070.0
2020-04-02,30380.0
2020-04-03,31745.0
2020-04-04,33283.0
2020-04-05,28152.0
2020-04-06,29515.0
2020-04-07,30804.0
2020-04-08,31533.0
2020-04-09,34126.0
2020-04-10,33755.0
2020-04-11,29861.0
2020-04-12,28917.0
2020-04-13,25306.0
2020-04-14,27051.0
2020-04-15,28680.0
2020-04-16,31242.0
2020-04-17,32114.0
2020-04-18,32491.0
2020-04-19,26612.0
2020-04-20,25517.0
2020-04-21,27539.0
2020-04-22,28486.0
2020-04-23,28819.0
2020-04-24,36188.0
2020-04-25,32796.0
2020-04-26,27631.0
2020-04-27,22412.0
2020-04-28,24385.0
2020-04-29,27327.0
2020-04-30,29515.0
2020-05-01,34037.0
2020-05-02,29078.0
2020-05-03,25501.0
2020-05-04,22335.0
2020-05-05,23976.0
2020-05-06,24980.0
2020-05-07,27692.0
2020-05-08,26906.0
2020-05-09,25621.0
2020-05-10,19710.0
2020-05-11,18621.0
