date,recovered
2020-01-22,0.0
2020-01-23,0.0
2020-01-24,0.0
2020-01-25,0.0
2020-01-26,0.0
2020-01-27,0.0
2020-01-28,0.0
2020-01-29,0.0
2020-01-30,0.0
2020-01-31,0.0
2020-02-01,0.0
2020-02-02,0.0
2020-02-03,0.0
2020-02-04,0.0
2020-02-05,0.0
2020-02-06,0.0
2020-02-07,0.0
2020-02-08,0.0
2020-02-09,3.0
2020-02-10,3.0
2020-02-11,3.0
2020-02-12,3.0
2020-02-13,3.0
2020-02-14,3.0
2020-02-15,3.0
2020-02-16,3.0
2020-02-17,3.0
2020-02-18,3.0
2020-02-19,3.0
2020-02-20,3.0
2020-02-21,5.0
2020-02-22,5.0
2020-02-23,5.0
2020-02-24,5.0
2020-02-25,6.0
2020-02-26,6.0
2020-02-27,6.0
2020-02-28,7.0
2020-02-29,7.0
2020-03-01,7.0
2020-03-02,7.0
2020-03-03,7.0
2020-03-04,7.0
2020-03-05,7.0
2020-03-06,7.0
2020-03-07,7.0
2020-03-08,7.0
2020-03-09,7.0
2020-03-10,8.0
2020-03-11,8.0
2020-03-12,12.0
2020-03-13,12.0
2020-03-14,12.0
2020-03-15,12.0
2020-03-16,17.0
2020-03-17,17.0
2020-03-18,0.0
2020-03-19,0.0
2020-03-20,0.0
2020-03-21,0.0
2020-03-22,178.0
