date,new
2020-01-22,0.0
2020-01-23,0.0
2020-01-24,0.0
2020-01-25,0.0
2020-01-26,0.0
2020-01-27,0.0
2020-01-28,0.0
2020-01-29,0.0
2020-01-30,0.0
2020-01-31,0.0
2020-02-01,0.0
2020-02-02,0.0
2020-02-03,0.0
2020-02-04,0.0
2020-02-05,0.0
2020-02-06,0.0
2020-02-07,0.0
2020-02-08,0.0
2020-02-09,0.0
2020-02-10,0.0
2020-02-11,0.0
2020-02-12,0.0
2020-02-13,0.0
2020-02-14,0.0
2020-02-15,0.0
2020-02-16,0.0
2020-02-17,0.0
2020-02-18,0.0
2020-02-19,0.0
2020-02-20,0.0
2020-02-21,0.0
2020-02-22,0.0
2020-02-23,0.0
2020-02-24,0.0
2020-02-25,0.0
2020-02-26,0.0
2020-02-27,0.0
2020-02-28,0.0
2020-02-29,0.0
2020-03-01,0.0
2020-03-02,0.0
2020-03-03,0.0
2020-03-04,0.0
2020-03-05,0.0
2020-03-06,0.0
2020-03-07,0.0
2020-03-08,0.0
2020-03-09,0.0
2020-03-10,0.0
2020-03-11,0.0
2020-03-12,0.0
2020-03-13,0.0
2020-03-14,0.0
2020-03-15,1.0
2020-03-16,5.0
2020-03-17,4.0
2020-03-18,5.0
2020-03-19,8.0
2020-03-20,10.0
2020-03-21,10.0
2020-03-22,0.0
2020-03-23,3.0
2020-03-24,4.0
2020-03-25,10.0
2020-03-26,15.0
2020-03-27,13.0
2020-03-28,16.0
2020-03-29,40.0
2020-03-30,5.0
2020-03-31,23.0
2020-04-01,9.0
2020-04-02,24.0
2020-04-03,22.0
2020-04-04,39.0
2020-04-05,76.0
2020-04-06,115.0
2020-04-07,63.0
2020-04-08,25.0
2020-04-09,37.0
2020-04-10,42.0
2020-04-11,143.0
2020-04-12,98.0
2020-04-13,133.0
2020-04-14,167.0
2020-04-15,137.0
2020-04-16,47.0
2020-04-17,56.0
2020-04-18,85.0
2020-04-19,75.0
2020-04-20,62.0
2020-04-21,51.0
2020-04-22,38.0
2020-04-23,42.0
2020-04-24,46.0
2020-04-25,58.0
2020-04-26,7.0
2020-04-27,35.0
2020-04-28,35.0
2020-04-29,63.0
2020-04-30,37.0
2020-05-01,47.0
2020-05-02,32.0
2020-05-03,31.0
2020-05-04,40.0
2020-05-05,18.0
2020-05-06,26.0
2020-05-07,65.0
2020-05-08,27.0
2020-05-09,24.0
2020-05-10,69.0
2020-05-11,68.0
