date,confirmed
2020-01-22,0
2020-01-23,0
2020-01-24,0
2020-01-25,0
2020-01-26,0
2020-01-27,0
2020-01-28,0
2020-01-29,0
2020-01-30,0
2020-01-31,0
2020-02-01,0
2020-02-02,0
2020-02-03,0
2020-02-04,0
2020-02-05,0
2020-02-06,0
2020-02-07,0
2020-02-08,0
2020-02-09,0
2020-02-10,0
2020-02-11,0
2020-02-12,0
2020-02-13,0
2020-02-14,0
2020-02-15,0
2020-02-16,0
2020-02-17,0
2020-02-18,0
2020-02-19,0
2020-02-20,0
2020-02-21,0
2020-02-22,0
2020-02-23,0
2020-02-24,0
2020-02-25,0
2020-02-26,0
2020-02-27,0
2020-02-28,0
2020-02-29,0
2020-03-01,0
2020-03-02,0
2020-03-03,0
2020-03-04,0
2020-03-05,0
2020-03-06,0
2020-03-07,0
2020-03-08,0
2020-03-09,0
2020-03-10,0
2020-03-11,0
2020-03-12,0
2020-03-13,0
2020-03-14,2
2020-03-15,10
2020-03-16,17
2020-03-17,33
2020-03-18,36
2020-03-19,42
2020-03-20,42
2020-03-21,70
2020-03-22,70
2020-03-23,77
2020-03-24,84
2020-03-25,91
2020-03-26,107
2020-03-27,107
2020-03-28,119
2020-03-29,119
2020-03-30,135
2020-03-31,135
2020-04-01,143
2020-04-02,146
2020-04-03,153
2020-04-04,155
2020-04-05,159
2020-04-06,165
2020-04-07,165
2020-04-08,167
2020-04-09,171
2020-04-10,171
2020-04-11,175
2020-04-12,181
2020-04-13,189
2020-04-14,189
2020-04-15,197
2020-04-16,204
2020-04-17,204
2020-04-18,227
2020-04-19,256
2020-04-20,256
2020-04-21,285
2020-04-22,288
2020-04-23,311
2020-04-24,318
2020-04-25,323
2020-04-26,325
2020-04-27,329
2020-04-28,329
2020-04-29,331
2020-04-30,333
2020-05-01,335
2020-05-02,345
2020-05-03,357
2020-05-04,357
2020-05-05,361
2020-05-06,379
2020-05-07,381
2020-05-08,388
2020-05-09,402
2020-05-10,414
2020-05-11,422
2020-05-12,423
2020-05-13,423
2020-05-14,455
2020-05-15,459
2020-05-16,504
2020-05-17,541
2020-05-18,618
2020-05-19,749
2020-05-20,824
2020-05-21,882
2020-05-22,944
2020-05-23,1010
2020-05-24,1121
2020-05-25,1177
2020-05-26,1211
2020-05-27,1245
2020-05-28,1325
2020-05-29,1370
2020-05-30,1459
2020-05-31,1510
2020-06-01,1662
2020-06-02,1819
2020-06-03,1952
2020-06-04,2087
2020-06-05,2145
2020-06-06,2316
2020-06-07,2377
2020-06-08,2473
2020-06-09,2632
2020-06-10,2738
2020-06-11,2814
2020-06-12,2879
2020-06-13,2904
2020-06-14,2978
2020-06-15,3062
2020-06-16,3150
2020-06-17,3386
2020-06-18,3483
2020-06-19,3591
2020-06-20,3789
2020-06-21,3917
2020-06-22,4048
2020-06-23,4187
2020-06-24,4366
2020-06-25,4563
2020-06-26,4779
2020-06-27,5130
2020-06-28,5297
2020-06-29,5530
2020-06-30,5832
2020-07-01,6062
2020-07-02,6273
2020-07-03,6537
2020-07-04,6750
2020-07-05,7169
2020-07-06,7411
2020-07-07,7693
2020-07-08,8008
2020-07-09,8372
2020-07-10,8803
2020-07-11,9178
2020-07-12,9465
2020-07-13,9707
2020-07-14,10010
2020-07-15,10428
2020-07-16,10854
2020-07-17,11191
2020-07-18,11483
2020-07-19,11891
2020-07-20,12334
2020-07-21,12774
2020-07-22,13164
2020-07-23,13613
2020-07-24,14263
2020-07-25,14929
2020-07-26,15463
2020-07-27,15988
2020-07-28,16571
2020-07-29,17158
2020-07-30,17859
2020-07-31,18574
2020-08-01,19443
2020-08-02,20206
2020-08-03,20754
2020-08-04,21438
2020-08-05,22299
2020-08-06,23280
2020-08-07,24166
2020-08-08,24961
2020-08-09,25805
