date,current
2020-01-22,0
2020-01-23,2
2020-01-24,2
2020-01-25,2
2020-01-26,2
2020-01-27,2
2020-01-28,2
2020-01-29,2
2020-01-30,2
2020-01-31,2
2020-02-01,5
2020-02-02,5
2020-02-03,7
2020-02-04,7
2020-02-05,7
2020-02-06,9
2020-02-07,9
2020-02-08,12
2020-02-09,12
2020-02-10,13
2020-02-11,9
2020-02-12,9
2020-02-13,9
2020-02-14,9
2020-02-15,9
2020-02-16,9
2020-02-17,9
2020-02-18,9
2020-02-19,9
2020-02-20,9
2020-02-21,2
2020-02-22,2
2020-02-23,2
2020-02-24,2
2020-02-25,0
2020-02-26,0
2020-02-27,0
2020-02-28,0
2020-02-29,0
2020-03-01,0
2020-03-02,0
2020-03-03,0
2020-03-04,0
2020-03-05,0
2020-03-06,0
2020-03-07,2
2020-03-08,14
2020-03-09,14
2020-03-10,15
2020-03-11,22
2020-03-12,23
2020-03-13,31
2020-03-14,37
2020-03-15,40
2020-03-16,45
2020-03-17,50
2020-03-18,59
2020-03-19,69
2020-03-20,75
2020-03-21,77
