date,confirmed
2020-01-22,0
2020-01-23,0
2020-01-24,0
2020-01-25,0
2020-01-26,0
2020-01-27,0
2020-01-28,0
2020-01-29,0
2020-01-30,0
2020-01-31,0
2020-02-01,0
2020-02-02,0
2020-02-03,0
2020-02-04,0
2020-02-05,0
2020-02-06,0
2020-02-07,0
2020-02-08,0
2020-02-09,0
2020-02-10,0
2020-02-11,0
2020-02-12,0
2020-02-13,0
2020-02-14,0
2020-02-15,0
2020-02-16,0
2020-02-17,0
2020-02-18,0
2020-02-19,0
2020-02-20,0
2020-02-21,0
2020-02-22,0
2020-02-23,0
2020-02-24,0
2020-02-25,0
2020-02-26,0
2020-02-27,0
2020-02-28,0
2020-02-29,0
2020-03-01,0
2020-03-02,0
2020-03-03,0
2020-03-04,0
2020-03-05,0
2020-03-06,0
2020-03-07,0
2020-03-08,0
2020-03-09,0
2020-03-10,0
2020-03-11,0
2020-03-12,0
2020-03-13,0
2020-03-14,0
2020-03-15,0
2020-03-16,0
2020-03-17,0
2020-03-18,0
2020-03-19,0
2020-03-20,0
2020-03-21,0
2020-03-22,0
2020-03-23,0
2020-03-24,0
2020-03-25,0
2020-03-26,0
2020-03-27,0
2020-03-28,0
2020-03-29,0
2020-03-30,0
2020-03-31,0
2020-04-01,0
2020-04-02,0
2020-04-03,0
2020-04-04,0
2020-04-05,0
2020-04-06,0
2020-04-07,0
2020-04-08,0
2020-04-09,0
2020-04-10,1
2020-04-11,1
2020-04-12,1
2020-04-13,1
2020-04-14,1
2020-04-15,1
2020-04-16,1
2020-04-17,1
2020-04-18,1
2020-04-19,1
2020-04-20,1
2020-04-21,1
2020-04-22,1
2020-04-23,1
2020-04-24,1
2020-04-25,1
2020-04-26,1
2020-04-27,1
2020-04-28,1
2020-04-29,6
2020-04-30,6
2020-05-01,7
2020-05-02,10
2020-05-03,10
2020-05-04,12
2020-05-05,22
2020-05-06,25
2020-05-07,25
2020-05-08,34
2020-05-09,34
2020-05-10,51
2020-05-11,56
2020-05-12,65
2020-05-13,70
2020-05-14,85
2020-05-15,106
2020-05-16,122
2020-05-17,128
2020-05-18,130
2020-05-19,167
2020-05-20,184
2020-05-21,197
2020-05-22,209
2020-05-23,212
2020-05-24,222
2020-05-25,233
2020-05-26,249
2020-05-27,256
2020-05-28,278
2020-05-29,283
2020-05-30,310
2020-05-31,323
2020-06-01,354
2020-06-02,399
2020-06-03,419
2020-06-04,453
2020-06-05,469
2020-06-06,482
2020-06-07,484
2020-06-08,496
2020-06-09,524
2020-06-10,560
2020-06-11,591
2020-06-12,632
2020-06-13,705
2020-06-14,728
2020-06-15,844
2020-06-16,885
2020-06-17,902
2020-06-18,909
2020-06-19,919
2020-06-20,922
2020-06-21,941
2020-06-22,967
2020-06-23,992
2020-06-24,1015
2020-06-25,1076
2020-06-26,1089
2020-06-27,1103
2020-06-28,1118
2020-06-29,1128
2020-06-30,1158
2020-07-01,1190
2020-07-02,1221
2020-07-03,1240
2020-07-04,1248
2020-07-05,1265
2020-07-06,1284
2020-07-07,1297
2020-07-08,1318
2020-07-09,1356
2020-07-10,1380
2020-07-11,1389
2020-07-12,1465
2020-07-13,1498
2020-07-14,1516
2020-07-15,1526
2020-07-16,1552
2020-07-17,1576
2020-07-18,1581
2020-07-19,1606
2020-07-20,1619
2020-07-21,1629
2020-07-22,1640
2020-07-23,1654
2020-07-24,1674
2020-07-25,1674
2020-07-26,1681
2020-07-27,1691
2020-07-28,1703
2020-07-29,1711
2020-07-30,1726
2020-07-31,1728
2020-08-01,1730
2020-08-02,1734
2020-08-03,1734
2020-08-04,1760
2020-08-05,1763
2020-08-06,1768
2020-08-07,1796
2020-08-08,1797
2020-08-09,1804
2020-08-10,1832
2020-08-11,1831
2020-08-12,1841
2020-08-13,1847
2020-08-14,1858
2020-08-15,1858
2020-08-16,1869
2020-08-17,1882
2020-08-18,1889
2020-08-19,1892
2020-08-20,1899
2020-08-21,1906
2020-08-22,1907
2020-08-23,1911
2020-08-24,1916
2020-08-25,1924
2020-08-26,1930
2020-08-27,1933
2020-08-28,1943
2020-08-29,1946
2020-08-30,1953
2020-08-31,1958
2020-09-01,1962
2020-09-02,1976
2020-09-03,1979
2020-09-04,1983
2020-09-05,1983
2020-09-06,1987
2020-09-07,1989
2020-09-08,1994
2020-09-09,1999
2020-09-10,2003
2020-09-11,2007
2020-09-12,2009
2020-09-13,2011
2020-09-14,2013
2020-09-15,2016
2020-09-16,2019
2020-09-17,2022
2020-09-18,2024
2020-09-19,2026
2020-09-20,2026
2020-09-21,2028
2020-09-22,2028
2020-09-23,2029
2020-09-24,2029
2020-09-25,2029
2020-09-26,2030
2020-09-27,2030
2020-09-28,2031
2020-09-29,2031
2020-09-30,2034
2020-10-01,2039
2020-10-02,2040
2020-10-03,2041
2020-10-04,2041
2020-10-05,2041
2020-10-06,2047
2020-10-07,2049
2020-10-08,2050
2020-10-09,2051
2020-10-10,2051
2020-10-11,2052
2020-10-12,2052
