date,confirmed
2020-01-22,0
2020-01-23,0
2020-01-24,0
2020-01-25,0
2020-01-26,0
2020-01-27,0
2020-01-28,0
2020-01-29,0
2020-01-30,0
2020-01-31,0
2020-02-01,0
2020-02-02,0
2020-02-03,0
2020-02-04,0
2020-02-05,0
2020-02-06,0
2020-02-07,0
2020-02-08,0
2020-02-09,0
2020-02-10,0
2020-02-11,0
2020-02-12,0
2020-02-13,0
2020-02-14,0
2020-02-15,0
2020-02-16,0
2020-02-17,0
2020-02-18,0
2020-02-19,0
2020-02-20,0
2020-02-21,0
2020-02-22,0
2020-02-23,0
2020-02-24,0
2020-02-25,0
2020-02-26,0
2020-02-27,0
2020-02-28,0
2020-02-29,0
2020-03-01,0
2020-03-02,0
2020-03-03,0
2020-03-04,0
2020-03-05,0
2020-03-06,0
2020-03-07,0
2020-03-08,0
2020-03-09,0
2020-03-10,0
2020-03-11,0
2020-03-12,0
2020-03-13,0
2020-03-14,0
2020-03-15,0
2020-03-16,0
2020-03-17,0
2020-03-18,2
2020-03-19,2
2020-03-20,2
2020-03-21,2
2020-03-22,3
2020-03-23,3
2020-03-24,3
2020-03-25,12
2020-03-26,16
2020-03-27,22
2020-03-28,28
2020-03-29,29
2020-03-30,35
2020-03-31,35
2020-04-01,36
2020-04-02,39
2020-04-03,39
2020-04-04,39
2020-04-05,39
2020-04-06,39
2020-04-07,39
2020-04-08,39
2020-04-09,39
2020-04-10,40
2020-04-11,40
2020-04-12,43
2020-04-13,45
2020-04-14,45
2020-04-15,48
2020-04-16,48
2020-04-17,52
2020-04-18,57
2020-04-19,61
2020-04-20,65
2020-04-21,70
2020-04-22,74
2020-04-23,76
2020-04-24,84
2020-04-25,84
2020-04-26,88
2020-04-27,88
2020-04-28,95
2020-04-29,97
2020-04-30,106
2020-05-01,109
2020-05-02,119
2020-05-03,124
2020-05-04,137
2020-05-05,138
2020-05-06,146
2020-05-07,153
2020-05-08,167
2020-05-09,252
2020-05-10,267
2020-05-11,267
2020-05-12,441
2020-05-13,446
2020-05-14,654
2020-05-15,654
2020-05-16,679
2020-05-17,753
2020-05-18,761
2020-05-19,772
2020-05-20,832
2020-05-21,866
2020-05-22,920
2020-05-23,920
2020-05-24,920
2020-05-25,920
2020-05-26,920
2020-05-27,1057
2020-05-28,1057
2020-05-29,1057
2020-05-30,1057
2020-05-31,1057
2020-06-01,1089
2020-06-02,1089
2020-06-03,1089
2020-06-04,1089
2020-06-05,1089
2020-06-06,1089
2020-06-07,1089
2020-06-08,1200
2020-06-09,1200
2020-06-10,1200
2020-06-11,1200
2020-06-12,1321
2020-06-13,1357
2020-06-14,1358
2020-06-15,1382
2020-06-16,1405
2020-06-17,1412
2020-06-18,1416
2020-06-19,1430
2020-06-20,1430
2020-06-21,1430
2020-06-22,1430
2020-06-23,1477
2020-06-24,1489
2020-06-25,1497
2020-06-26,1531
2020-06-27,1531
2020-06-28,1557
2020-06-29,1568
2020-06-30,1594
2020-07-01,1632
2020-07-02,1632
2020-07-03,1632
2020-07-04,1632
2020-07-05,1632
2020-07-06,1632
2020-07-07,1895
2020-07-08,1895
2020-07-09,1895
2020-07-10,1895
2020-07-11,1895
2020-07-12,1895
2020-07-13,1895
2020-07-14,1895
2020-07-15,1895
2020-07-16,1895
2020-07-17,2810
2020-07-18,2980
2020-07-19,2980
2020-07-20,3326
2020-07-21,3386
2020-07-22,3583
2020-07-23,3789
2020-07-24,3856
2020-07-25,4328
2020-07-26,4481
2020-07-27,4552
2020-07-28,5002
2020-07-29,5249
2020-07-30,5555
2020-07-31,5963
2020-08-01,6228
2020-08-02,6347
2020-08-03,6580
2020-08-04,6793
2020-08-05,7022
2020-08-06,7164
2020-08-07,7486
2020-08-08,7903
2020-08-09,8085
2020-08-10,8210
2020-08-11,8275
2020-08-12,8501
2020-08-13,8663
2020-08-14,9021
2020-08-15,9186
2020-08-16,9343
2020-08-17,9839
2020-08-18,9981
2020-08-19,10218
2020-08-20,10372
2020-08-21,10627
2020-08-22,10831
2020-08-23,11082
2020-08-24,11148
2020-08-25,11285
2020-08-26,11376
2020-08-27,11601
2020-08-28,11779
2020-08-29,11902
2020-08-30,12025
2020-08-31,12097
2020-09-01,12381
2020-09-02,12415
2020-09-03,12523
2020-09-04,12639
2020-09-05,12709
2020-09-06,12776
2020-09-07,12836
2020-09-08,12952
2020-09-09,13112
2020-09-10,13214
2020-09-11,13323
2020-09-12,13466
2020-09-13,13539
2020-09-14,13720
2020-09-15,13819
2020-09-16,13887
2020-09-17,13928
2020-09-18,14022
2020-09-19,14070
2020-09-20,14131
2020-09-21,14175
2020-09-22,14389
2020-09-23,14443
2020-09-24,14491
2020-09-25,14515
2020-09-26,14612
2020-09-27,14641
2020-09-28,14660
2020-09-29,14715
2020-09-30,14759
2020-10-01,14802
2020-10-02,14830
2020-10-03,14974
2020-10-04,15052
2020-10-05,15089
2020-10-06,15170
2020-10-07,15224
2020-10-08,15301
2020-10-09,15339
2020-10-10,15415
2020-10-11,15458
2020-10-12,15549
