date,new
2020-01-22,0.0
2020-01-23,0.0
2020-01-24,0.0
2020-01-25,0.0
2020-01-26,0.0
2020-01-27,0.0
2020-01-28,0.0
2020-01-29,0.0
2020-01-30,0.0
2020-01-31,0.0
2020-02-01,0.0
2020-02-02,0.0
2020-02-03,0.0
2020-02-04,0.0
2020-02-05,0.0
2020-02-06,0.0
2020-02-07,0.0
2020-02-08,0.0
2020-02-09,0.0
2020-02-10,0.0
2020-02-11,0.0
2020-02-12,0.0
2020-02-13,0.0
2020-02-14,0.0
2020-02-15,0.0
2020-02-16,0.0
2020-02-17,0.0
2020-02-18,0.0
2020-02-19,0.0
2020-02-20,0.0
2020-02-21,0.0
2020-02-22,0.0
2020-02-23,0.0
2020-02-24,0.0
2020-02-25,0.0
2020-02-26,0.0
2020-02-27,0.0
2020-02-28,0.0
2020-02-29,0.0
2020-03-01,0.0
2020-03-02,0.0
2020-03-03,0.0
2020-03-04,0.0
2020-03-05,0.0
2020-03-06,0.0
2020-03-07,0.0
2020-03-08,0.0
2020-03-09,0.0
2020-03-10,0.0
2020-03-11,0.0
2020-03-12,0.0
2020-03-13,0.0
2020-03-14,0.0
2020-03-15,0.0
2020-03-16,0.0
2020-03-17,0.0
2020-03-18,0.0
2020-03-19,0.0
2020-03-20,1.0
2020-03-21,2.0
2020-03-22,0.0
2020-03-23,0.0
2020-03-24,0.0
2020-03-25,0.0
2020-03-26,0.0
2020-03-27,2.0
2020-03-28,2.0
2020-03-29,0.0
2020-03-30,0.0
2020-03-31,1.0
2020-04-01,0.0
2020-04-02,1.0
2020-04-03,0.0
2020-04-04,0.0
2020-04-05,0.0
2020-04-06,1.0
2020-04-07,1.0
2020-04-08,0.0
2020-04-09,0.0
2020-04-10,2.0
2020-04-11,1.0
2020-04-12,0.0
2020-04-13,3.0
2020-04-14,0.0
2020-04-15,6.0
2020-04-16,0.0
2020-04-17,1.0
2020-04-18,1.0
2020-04-19,0.0
2020-04-20,0.0
2020-04-21,3.0
2020-04-22,0.0
2020-04-23,0.0
2020-04-24,1.0
2020-04-25,2.0
2020-04-26,0.0
2020-04-27,1.0
2020-04-28,0.0
2020-04-29,0.0
2020-04-30,8.0
2020-05-01,0.0
2020-05-02,-6.0
2020-05-03,0.0
2020-05-04,0.0
2020-05-05,0.0
2020-05-06,0.0
2020-05-07,0.0
2020-05-08,0.0
2020-05-09,1.0
2020-05-10,1.0
2020-05-11,0.0
2020-05-12,0.0
2020-05-13,1.0
2020-05-14,0.0
2020-05-15,5.0
2020-05-16,0.0
2020-05-17,2.0
2020-05-18,2.0
2020-05-19,0.0
2020-05-20,2.0
2020-05-21,3.0
2020-05-22,0.0
2020-05-23,5.0
2020-05-24,0.0
2020-05-25,0.0
2020-05-26,0.0
2020-05-27,76.0
2020-05-28,17.0
2020-05-29,0.0
2020-05-30,25.0
2020-05-31,4.0
2020-06-01,25.0
2020-06-02,3.0
2020-06-03,16.0
2020-06-04,15.0
2020-06-05,28.0
2020-06-06,14.0
2020-06-07,3.0
2020-06-08,5.0
2020-06-09,27.0
2020-06-10,6.0
2020-06-11,12.0
2020-06-12,11.0
2020-06-13,13.0
2020-06-14,27.0
2020-06-15,4.0
2020-06-16,4.0
2020-06-17,10.0
2020-06-18,62.0
2020-06-19,16.0
2020-06-20,0.0
2020-06-21,10.0
2020-06-22,23.0
2020-06-23,13.0
2020-06-24,5.0
2020-06-25,21.0
2020-06-26,10.0
2020-06-27,6.0
2020-06-28,0.0
2020-06-29,7.0
2020-06-30,17.0
2020-07-01,14.0
2020-07-02,12.0
2020-07-03,8.0
2020-07-04,73.0
2020-07-05,18.0
2020-07-06,18.0
2020-07-07,53.0
2020-07-08,98.0
2020-07-09,0.0
2020-07-10,57.0
2020-07-11,40.0
2020-07-12,3.0
2020-07-13,49.0
2020-07-14,30.0
2020-07-15,25.0
2020-07-16,273.0
2020-07-17,58.0
2020-07-18,58.0
2020-07-19,133.0
2020-07-20,102.0
2020-07-21,107.0
2020-07-22,214.0
2020-07-23,90.0
2020-07-24,172.0
2020-07-25,138.0
2020-07-26,78.0
2020-07-27,192.0
2020-07-28,113.0
2020-07-29,62.0
2020-07-30,213.0
2020-07-31,77.0
2020-08-01,490.0
2020-08-02,262.0
2020-08-03,154.0
2020-08-04,146.0
2020-08-05,0.0
2020-08-06,118.0
2020-08-07,112.0
2020-08-08,124.0
