date,confirmed
3/10/2020,24
3/11/2020,52
3/12/2020,81
3/13/2020,134
3/14/2020,187
3/15/2020,238
3/16/2020,272
3/17/2020,325
3/18/2020,478
3/19/2020,669
3/20/2020,803
3/21/2020,1023
3/22/2020,1306
3/23/2020,1483
3/24/2020,1764
3/25/2020,2140
3/26/2020,2347
3/27/2020,2810
3/28/2020,3150
3/29/2020,3450
3/30/2020,3732
3/31/2020,4063
4/1/2020,4382
4/2/2020,4695
4/3/2020,5081
4/4/2020,5571
4/5/2020,5712
4/6/2020,5960
4/7/2020,6200
4/8/2020,6385
4/9/2020,6804
4/10/2020,7114
4/11/2020,7343
4/12/2020,7602
4/13/2020,7723
4/14/2020,7885
4/15/2020,8019
4/16/2020,8188
4/17/2020,8442
4/18/2020,8649
4/19/2020,8797
4/20/2020,8900
4/21/2020,9098
4/22/2020,9236
4/23/2020,9391
4/24/2020,9544
4/25/2020,9691
4/26/2020,9785
4/27/2020,9847
4/28/2020,9926
4/29/2020,9972
4/30/2020,10067
5/1/2020,10141
5/2/2020,10246
5/3/2020,10283
5/4/2020,10325
5/5/2020,10380
5/6/2020,10453
5/7/2020,10564
5/8/2020,10686
5/9/2020,10803
5/10/2020,10827
5/11/2020,10854
5/12/2020,10895
5/13/2020,10903
5/14/2020,11003
5/15/2020,11087
5/16/2020,11092
5/17/2020,11155
5/18/2020,11167
5/19/2020,11207
5/20/2020,11288
5/21/2020,11362
5/22/2020,11420
5/23/2020,11521
5/24/2020,11578
5/25/2020,11578
5/26/2020,11646
5/27/2020,11678
5/28/2020,11750
5/29/2020,11832
5/30/2020,11958
5/31/2020,11992
6/1/2020,12043
6/2/2020,12065
6/3/2020,12114
6/4/2020,12182
6/5/2020,12277
6/6/2020,12399
6/7/2020,12466
6/8/2020,12509
6/9/2020,12601
6/10/2020,12626
6/11/2020,12727
6/12/2020,12777
6/13/2020,12822
6/14/2020,12874
6/15/2020,12909
6/16/2020,12950
6/17/2020,12968
6/18/2020,13063
6/19/2020,13097
6/20/2020,13136
6/21/2020,13136
6/22/2020,13283
6/23/2020,13312
6/24/2020,13327
6/25/2020,13378
6/26/2020,13422
6/27/2020,13456
6/28/2020,13478
6/29/2020,13502
6/30/2020,13535
7/1/2020,13577
7/2/2020,13605
7/3/2020,13632
7/4/2020,13647
7/5/2020,13664
7/6/2020,13672
7/7/2020,13731
7/8/2020,13748
7/9/2020,13754
7/10/2020,13791
7/11/2020,13799
7/12/2020,13804
7/13/2020,13806
7/14/2020,13806
7/15/2020,13848
7/16/2020,13887
7/17/2020,13905
7/18/2020,13952
7/19/2020,13963
7/20/2020,14030
7/21/2020,14059
7/22/2020,14101
7/23/2020,14133
7/24/2020,14185
7/25/2020,14222
7/26/2020,14223
7/27/2020,14241
7/28/2020,14288
7/29/2020,14305
7/30/2020,14380
7/31/2020,14430
8/1/2020,14499
8/2/2020,14515
8/3/2020,14567
8/4/2020,14634
8/5/2020,14671
8/6/2020,14723
8/7/2020,14847
8/8/2020,14911
8/9/2020,14943
8/10/2020,14974
