,Bundesland,Landkreis,Altersgruppe,Geschlecht,AnzahlFall,AnzahlTodesfall,Meldedatum,NeuerFall,date
0,Rheinland-Pfalz,SK Worms,A15-A34,M,2,0,1584403200000,0,17-03-2020
1,Rheinland-Pfalz,SK Worms,A15-A34,M,1,0,1584662400000,0,20-03-2020
2,Rheinland-Pfalz,SK Worms,A15-A34,M,2,0,1584748800000,0,21-03-2020
3,Rheinland-Pfalz,SK Worms,A15-A34,M,1,0,1585008000000,0,24-03-2020
4,Rheinland-Pfalz,SK Worms,A15-A34,M,1,0,1585094400000,1,25-03-2020
5,Rheinland-Pfalz,SK Worms,A15-A34,W,1,0,1584144000000,0,14-03-2020
6,Rheinland-Pfalz,SK Worms,A15-A34,W,1,0,1584403200000,0,17-03-2020
7,Rheinland-Pfalz,SK Worms,A15-A34,W,2,0,1584576000000,0,19-03-2020
8,Rheinland-Pfalz,SK Worms,A15-A34,W,1,0,1584835200000,0,22-03-2020
9,Rheinland-Pfalz,SK Worms,A15-A34,W,2,0,1584921600000,0,23-03-2020
10,Rheinland-Pfalz,SK Worms,A15-A34,W,2,0,1585008000000,0,24-03-2020
11,Rheinland-Pfalz,SK Worms,A15-A34,W,1,0,1585094400000,1,25-03-2020
12,Rheinland-Pfalz,SK Worms,A35-A59,M,8,0,1584403200000,0,17-03-2020
13,Rheinland-Pfalz,SK Worms,A35-A59,M,4,0,1584489600000,0,18-03-2020
14,Rheinland-Pfalz,SK Worms,A35-A59,M,4,0,1584576000000,0,19-03-2020
15,Rheinland-Pfalz,SK Worms,A35-A59,M,3,0,1584662400000,0,20-03-2020
16,Rheinland-Pfalz,SK Worms,A35-A59,M,1,0,1584748800000,0,21-03-2020
17,Rheinland-Pfalz,SK Worms,A35-A59,M,1,0,1584835200000,0,22-03-2020
18,Rheinland-Pfalz,SK Worms,A35-A59,M,2,0,1584921600000,0,23-03-2020
19,Rheinland-Pfalz,SK Worms,A35-A59,M,1,0,1585008000000,0,24-03-2020
20,Rheinland-Pfalz,SK Worms,A35-A59,W,1,0,1584403200000,0,17-03-2020
21,Rheinland-Pfalz,SK Worms,A35-A59,W,1,0,1584576000000,0,19-03-2020
22,Rheinland-Pfalz,SK Worms,A35-A59,W,3,0,1584662400000,0,20-03-2020
23,Rheinland-Pfalz,SK Worms,A35-A59,W,1,0,1584748800000,0,21-03-2020
24,Rheinland-Pfalz,SK Worms,A35-A59,W,2,0,1584835200000,0,22-03-2020
25,Rheinland-Pfalz,SK Worms,A35-A59,W,2,0,1584921600000,0,23-03-2020
26,Rheinland-Pfalz,SK Worms,A35-A59,W,1,0,1585094400000,0,25-03-2020
27,Rheinland-Pfalz,SK Worms,A60-A79,W,2,0,1584835200000,0,22-03-2020
28,Rheinland-Pfalz,SK Worms,A80+,M,1,0,1585180800000,1,26-03-2020
29,Rheinland-Pfalz,LK Bitburg-Prüm,A05-A14,W,1,0,1584576000000,0,19-03-2020
30,Rheinland-Pfalz,LK Bitburg-Prüm,A15-A34,M,1,0,1584144000000,0,14-03-2020
31,Rheinland-Pfalz,LK Bitburg-Prüm,A15-A34,M,1,0,1584230400000,0,15-03-2020
32,Rheinland-Pfalz,LK Bitburg-Prüm,A15-A34,M,2,0,1584316800000,0,16-03-2020
33,Rheinland-Pfalz,LK Bitburg-Prüm,A15-A34,M,2,0,1584662400000,0,20-03-2020
34,Rheinland-Pfalz,LK Bitburg-Prüm,A15-A34,M,1,0,1584748800000,0,21-03-2020
35,Rheinland-Pfalz,LK Bitburg-Prüm,A15-A34,W,1,0,1584316800000,0,16-03-2020
36,Rheinland-Pfalz,LK Bitburg-Prüm,A15-A34,W,1,0,1584403200000,0,17-03-2020
37,Rheinland-Pfalz,LK Bitburg-Prüm,A15-A34,W,1,0,1584662400000,0,20-03-2020
38,Rheinland-Pfalz,LK Bitburg-Prüm,A15-A34,W,1,0,1584748800000,0,21-03-2020
39,Rheinland-Pfalz,LK Bitburg-Prüm,A15-A34,W,1,0,1585008000000,0,24-03-2020
40,Rheinland-Pfalz,LK Bitburg-Prüm,A35-A59,M,1,0,1583971200000,0,12-03-2020
41,Rheinland-Pfalz,LK Bitburg-Prüm,A35-A59,M,2,0,1584057600000,0,13-03-2020
42,Rheinland-Pfalz,LK Bitburg-Prüm,A35-A59,M,5,0,1584144000000,0,14-03-2020
43,Rheinland-Pfalz,LK Bitburg-Prüm,A35-A59,M,1,0,1584230400000,0,15-03-2020
44,Rheinland-Pfalz,LK Bitburg-Prüm,A35-A59,M,1,0,1584403200000,0,17-03-2020
45,Rheinland-Pfalz,LK Bitburg-Prüm,A35-A59,M,2,0,1584489600000,0,18-03-2020
46,Rheinland-Pfalz,LK Bitburg-Prüm,A35-A59,M,1,0,1584576000000,0,19-03-2020
47,Rheinland-Pfalz,LK Bitburg-Prüm,A35-A59,M,1,0,1584662400000,0,20-03-2020
48,Rheinland-Pfalz,LK Bitburg-Prüm,A35-A59,M,2,0,1584748800000,0,21-03-2020
